# seed=18
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5545,0.8333,0.9295,-0.1683,0.2410,"21 38 29 39 13 37 14 21 2 19 14 0 13 23 19 35 33 20 34 6 11 27 17 28 29 24 0 9 33 19 29 38 30 8 18 40 19 22 3 19 6 0 34 19 1 29 20 24 24 3 34 34 8 9 19 6 4 39 6 40 13 31 16 18 7 32 24 4 7 10 8 42 40 21 26 15 25 2 33 32 38 42 5 39 19 11 38 18 5 3 41 11 28 27 11 3 18 35 25 15 3 17 27 19 9 3 24 32 32 30 7 17 35 34 1 14 38 3 1 24 36 34 36 42 1 5 29 0 24 14 1 23 40 2 31 19 30 26 10 24 40 27 0 3 1 25 32 41 34 35 21 17 24 25 36 23 27 3 22 38 34 24 1 41 41 14 41 15 17 3 13 5 19 31 33 20 34 8 8 35 22 9 31 28 1 10 17 9 2 22 16 8 22 41 29 37 34 9 32 31 2 35 26 15 32 26 9 18 30 5 32 16 8 24 1 15 15 9 5 39 30 11 17 29 7 17 4 17 6 4 41 7 12 18 1 13 0 24 15 5 38 23 28 28 0 12 34 13 23 30 39 33 2 38 32 24 27 26 21 21 9 8 7 18 18 3 3 27 3 8 6 11 9 13 15 3 42 14 26 23 40 20 9 30 14 17 6 18 36 32 37 2 7 26 13 4 39 33 19 13 7 31 32 15 33 28 4 11 9 41 32 9 16 13 17 18 29 1 23 23 1 26 16 37 29 34 42 5 28 23 14 31 20 41 30 30 2 2 14 6 15 25 29 37 41 6 38 15 8 25 18 7 42 30 17 25 14 23 0 32 23 25 42 21 27 38 4 34 1 35 20 15 30 7 1 33 1 17 11 18 8 36 16 26 4 6 23 10 32 25 41 39 40 29 34 16 6 16 20 41 4 21 8 29 40 1 12 32 10 5 32 8 16 26 19 16 28 19 13 42 39 36 20 2 40 6 1 4 36 31 21 11 20 29 12 34 30 42 21 25 8 0 12 6 40 19 1 30 20 3 37 25 13 36 26 7 32 8 27 27 17 40 42 23 2 39 4 13 38 13 20 29 33 13 30 22 39 37 18 6 16 28 38 41 13 10 23 32 6 37 32 6 8 36 31 21 5 8 22 12"
1,2,-0.7368,0.8750,0.4605,-0.2141,0.2453,"34 28 28 28 12 12 28 29 28 15 30 28 23 28 19 28 15 19 28 30 28 17 28 28 28 28 17 28 19 31 28 17 14 14 34 17 4 12 36 6 12 19 28 14 17 15 30 29 28 28 12 19 15 17 28 30 42 14 12 36 28 28 28 28 19 28 28 10 42 29 17 30 15 28 28 28 28 28 30 34 28 17 14 15 29 28 28 36 19 28 28 28 17 30 28 28 28 15 30 28 9 41 10 38 11 2 41 2 3 0 3 0 9 0 9 3 10 0 12 3 41 2 10 9 3 0 3 10 9 3 9 3 2 3 3 2 3 2 2 9 2 2 0 10 3 2 3 0 2 2 11 2 11 3 3 2 0 0 38 0 41 2 2 10 41 0 2 11 0 0 3 35 3 41 3 3 3 13 2 10 10 3 0 0 2 9 0 0 9 3 3 0 2 2 41 11 11 9 41 41 28 28 39 8 17 26 13 40 34 28 25 29 28 29 40 30 42 24 40 40 40 28 40 8 33 28 28 30 35 3 30 28 28 40 40 28 28 40 30 28 28 29 20 28 28 39 28 40 39 28 33 28 28 28 40 40 15 36 30 30 30 30 28 29 28 28 28 31 11 18 28 30 40 40 28 28 28 28 28 30 30 29 28 28 28 28 30 28 41 40 40 2 29 17 28 28 40 22 21 28 25 12 27 25 38 36 31 25 25 34 25 12 12 25 25 25 25 25 25 12 25 12 26 25 25 12 25 12 41 25 27 25 25 25 31 25 28 25 27 27 12 12 25 31 25 12 27 27 24 25 33 25 26 27 29 27 31 28 25 25 31 29 31 25 25 27 25 26 7 12 25 25 25 25 12 12 27 30 25 15 12 27 25 25 25 18 25 27 25 12 25 25 31 24 28 25 25 29 25 25 8 12 33 12 33 31 31 32 31 33 31 31 31 31 12 31 25 12 25 33 31 31 33 12 31 33 31 31 12 33 32 31 12 31 32 31 31 31 32 31 33 32 27 33 31 31 31 31 32 31 7 31 33 12 12 31 31 31 12 31 32 31 12 31 12 31 27 32 33 31 32 31 12 31 31 31 33 33 33 32 29 31 12 7 12 33 31 27 31 27 31 33 12 11 32 33 31 12 12 27"
2,3,-0.8523,1.0000,0.4922,-0.2699,0.1768,"9 13 39 38 9 0 39 9 22 38 10 1 0 0 13 39 0 22 9 3 9 11 9 9 39 13 9 3 38 39 1 10 9 0 9 13 1 17 1 9 1 1 9 9 14 1 3 9 9 12 21 9 9 9 13 12 13 38 9 39 3 3 9 39 0 9 3 38 39 13 9 0 9 11 38 38 3 9 38 9 9 3 11 39 39 9 22 39 12 12 38 38 10 9 9 1 21 9 9 0 21 21 41 2 21 21 21 21 21 41 21 41 41 41 21 2 3 38 22 21 21 21 1 41 41 21 17 41 41 41 21 22 41 38 41 17 22 41 41 41 41 13 41 21 21 41 0 41 41 3 0 2 41 41 41 41 3 21 21 41 41 22 41 3 38 1 2 38 0 41 38 21 41 2 1 41 1 41 21 7 41 41 3 3 41 41 41 41 39 2 1 21 1 0 13 41 22 16 21 41 0 12 28 28 3 14 12 0 39 29 37 12 12 1 12 12 12 12 13 3 28 3 28 0 3 15 15 14 3 14 28 28 28 15 38 38 13 3 30 3 12 1 15 0 14 38 14 38 28 12 12 38 12 13 15 28 15 12 15 28 38 28 0 0 3 14 28 1 12 1 12 12 28 3 12 3 38 13 0 12 12 3 15 13 28 1 0 38 38 12 1 28 12 15 14 0 1 29 12 13 41 4 2 4 2 35 19 5 19 14 40 37 19 14 14 40 19 17 19 17 40 15 19 1 3 19 11 15 14 40 40 14 15 40 14 40 26 37 15 19 40 4 40 17 20 15 30 14 17 40 19 40 19 40 17 40 34 19 27 40 40 15 31 40 17 19 2 15 40 19 19 6 17 17 40 40 19 14 40 25 19 40 35 40 17 40 40 40 40 15 14 40 19 40 19 40 40 2 8 40 2 25 2 25 26 26 27 14 25 2 2 25 25 27 25 12 11 2 25 26 27 25 25 2 27 39 27 26 25 25 26 2 39 2 25 25 25 25 25 25 39 26 27 25 41 25 7 27 39 25 27 25 8 25 26 26 2 25 26 25 2 8 2 25 7 25 39 25 25 3 25 27 25 8 25 25 26 25 31 26 25 25 25 39 25 2 8 25 25 25 25 7 26 25 13 8 25 25 2 7"
3,3,-0.8486,1.0000,0.5047,-0.2829,0.1308,"9 13 39 38 9 0 39 9 22 38 10 1 0 0 13 39 0 22 9 3 9 11 9 9 39 13 9 3 38 39 1 10 9 0 9 13 1 17 1 9 1 1 9 9 14 1 3 9 9 12 21 9 9 9 13 12 13 38 9 39 3 3 9 39 0 9 3 38 39 13 9 0 9 11 38 38 3 9 38 9 9 3 11 39 39 9 22 39 12 12 38 38 10 9 9 1 21 9 9 0 21 21 41 2 21 21 21 21 21 41 21 41 41 41 21 2 3 38 22 21 21 21 1 41 41 21 17 41 41 41 21 22 41 38 41 17 22 41 41 41 41 13 41 21 21 41 0 41 41 3 0 2 41 41 41 41 3 21 21 41 41 22 41 3 38 1 2 38 0 41 38 21 41 2 1 41 1 41 21 7 41 41 3 3 41 41 41 41 39 2 1 21 1 0 13 41 22 16 21 41 0 12 28 28 3 14 12 0 39 29 37 12 12 1 12 12 12 12 13 3 28 3 28 0 3 15 15 14 3 14 28 28 28 15 38 38 13 3 30 3 12 1 15 0 14 38 14 38 28 12 12 38 12 13 15 28 15 12 15 28 38 28 0 0 3 14 28 1 12 1 12 12 28 3 12 3 38 13 0 12 12 3 15 13 28 1 0 38 38 12 1 28 12 15 14 0 1 29 12 13 41 4 2 4 2 35 19 5 19 14 40 37 19 14 14 40 19 17 19 17 40 15 19 1 3 19 11 15 14 40 40 14 15 40 14 40 26 37 15 19 40 4 40 17 20 15 30 14 17 40 19 40 19 40 17 40 34 19 27 40 40 15 31 40 17 19 2 15 40 19 19 6 17 17 40 40 19 14 40 25 19 40 35 40 17 40 40 40 40 15 14 40 19 40 19 40 40 2 8 40 2 25 2 25 26 26 27 14 25 2 2 25 25 27 25 12 11 2 25 26 27 25 25 2 27 39 27 26 25 25 26 2 39 2 25 25 25 25 25 25 39 26 27 25 41 25 7 27 39 25 27 25 8 25 26 26 2 25 26 25 2 8 2 25 7 25 39 25 25 3 25 27 25 8 25 25 26 25 31 26 25 25 25 39 25 2 8 25 25 25 25 7 26 25 13 8 25 25 2 7"
4,3,-0.8139,1.0000,0.6203,-0.2803,0.1180,"9 13 39 38 9 0 39 9 22 38 10 1 0 0 13 39 0 22 9 3 9 11 9 9 39 13 9 3 38 39 1 10 9 0 9 13 1 17 1 9 1 1 9 9 14 1 3 9 9 12 21 9 9 9 13 12 13 38 9 39 3 3 9 39 0 9 3 38 39 13 9 0 9 11 38 38 3 9 38 9 9 3 11 39 39 9 22 39 12 12 38 38 10 9 9 1 21 9 9 0 21 21 41 2 21 21 21 21 21 41 21 41 41 41 21 2 3 38 22 21 21 21 1 41 41 21 17 41 41 41 21 22 41 38 41 17 22 41 41 41 41 13 41 21 21 41 0 41 41 3 0 2 41 41 41 41 3 21 21 41 41 22 41 3 38 1 2 38 0 41 38 21 41 2 1 41 1 41 21 7 41 41 3 3 41 41 41 41 39 2 1 21 1 0 13 41 22 16 21 41 0 12 28 28 3 14 12 0 39 29 37 12 12 1 12 12 12 12 13 3 28 3 28 0 3 15 15 14 3 14 28 28 28 15 38 38 13 3 30 3 12 1 15 0 14 38 14 38 28 12 12 38 12 13 15 28 15 12 15 28 38 28 0 0 3 14 28 1 12 1 12 12 28 3 12 3 38 13 0 12 12 3 15 13 28 1 0 38 38 12 1 28 12 15 14 0 1 29 12 13 41 4 2 4 2 35 19 5 19 14 40 37 19 14 14 40 19 17 19 17 40 15 19 1 3 19 11 15 14 40 40 14 15 40 14 40 26 37 15 19 40 4 40 17 20 15 30 14 17 40 19 40 19 40 17 40 34 19 27 40 40 15 31 40 17 19 2 15 40 19 19 6 17 17 40 40 19 14 40 25 19 40 35 40 17 40 40 40 40 15 14 40 19 40 19 40 40 2 8 40 2 25 2 25 26 26 27 14 25 2 2 25 25 27 25 12 11 2 25 26 27 25 25 2 27 39 27 26 25 25 26 2 39 2 25 25 25 25 25 25 39 26 27 25 41 25 7 27 39 25 27 25 8 25 26 26 2 25 26 25 2 8 2 25 7 25 39 25 25 3 25 27 25 8 25 25 26 25 31 26 25 25 25 39 25 2 8 25 25 25 25 7 26 25 13 8 25 25 2 7"
5,3,-0.8296,1.0000,0.5680,-0.3003,0.1503,"9 13 39 38 9 0 39 9 22 38 10 1 0 0 13 39 0 22 9 3 9 11 9 9 39 13 9 3 38 39 1 10 9 0 9 13 1 17 1 9 1 1 9 9 14 1 3 9 9 12 21 9 9 9 13 12 13 38 9 39 3 3 9 39 0 9 3 38 39 13 9 0 9 11 38 38 3 9 38 9 9 3 11 39 39 9 22 39 12 12 38 38 10 9 9 1 21 9 9 0 21 21 41 2 21 21 21 21 21 41 21 41 41 41 21 2 3 38 22 21 21 21 1 41 41 21 17 41 41 41 21 22 41 38 41 17 22 41 41 41 41 13 41 21 21 41 0 41 41 3 0 2 41 41 41 41 3 21 21 41 41 22 41 3 38 1 2 38 0 41 38 21 41 2 1 41 1 41 21 7 41 41 3 3 41 41 41 41 39 2 1 21 1 0 13 41 22 16 21 41 0 12 28 28 3 14 12 0 39 29 37 12 12 1 12 12 12 12 13 3 28 3 28 0 3 15 15 14 3 14 28 28 28 15 38 38 13 3 30 3 12 1 15 0 14 38 14 38 28 12 12 38 12 13 15 28 15 12 15 28 38 28 0 0 3 14 28 1 12 1 12 12 28 3 12 3 38 13 0 12 12 3 15 13 28 1 0 38 38 12 1 28 12 15 14 0 1 29 12 13 41 4 2 4 2 35 19 5 19 14 40 37 19 14 14 40 19 17 19 17 40 15 19 1 3 19 11 15 14 40 40 14 15 40 14 40 26 37 15 19 40 4 40 17 20 15 30 14 17 40 19 40 19 40 17 40 34 19 27 40 40 15 31 40 17 19 2 15 40 19 19 6 17 17 40 40 19 14 40 25 19 40 35 40 17 40 40 40 40 15 14 40 19 40 19 40 40 2 8 40 2 25 2 25 26 26 27 14 25 2 2 25 25 27 25 12 11 2 25 26 27 25 25 2 27 39 27 26 25 25 26 2 39 2 25 25 25 25 25 25 39 26 27 25 41 25 7 27 39 25 27 25 8 25 26 26 2 25 26 25 2 8 2 25 7 25 39 25 25 3 25 27 25 8 25 25 26 25 31 26 25 25 25 39 25 2 8 25 25 25 25 7 26 25 13 8 25 25 2 7"
6,3,-0.7841,0.9333,0.4974,-0.3095,0.1106,"9 13 39 38 9 0 39 9 22 38 10 1 0 0 13 39 0 22 9 3 9 11 9 9 39 13 9 3 38 39 1 10 9 0 9 13 1 17 1 9 1 1 9 9 14 1 3 9 9 12 21 9 9 9 13 12 13 38 9 39 3 3 9 39 0 9 3 38 39 13 9 0 9 11 38 38 3 9 38 9 9 3 11 39 39 9 22 39 12 12 38 38 10 9 9 1 21 9 9 0 21 21 41 2 21 21 21 21 21 41 21 41 41 41 21 2 3 38 22 21 21 21 1 41 41 21 17 41 41 41 21 22 41 38 41 17 22 41 41 41 41 13 41 21 21 41 0 41 41 3 0 2 41 41 41 41 3 21 21 41 41 22 41 3 38 1 2 38 0 41 38 21 41 2 1 41 1 41 21 7 41 41 3 3 41 41 41 41 39 2 1 21 1 0 13 41 22 16 21 41 0 12 28 28 3 14 12 0 39 29 37 12 12 1 12 12 12 12 13 3 28 3 28 0 3 15 15 14 3 14 28 28 28 15 38 38 13 3 30 3 12 1 15 0 14 38 14 38 28 12 12 38 12 13 15 28 15 12 15 28 38 28 0 0 3 14 28 1 12 1 12 12 28 3 12 3 38 13 0 12 12 3 15 13 28 1 0 38 38 12 1 28 12 15 14 0 1 29 12 13 41 4 2 4 2 35 19 5 19 14 40 37 19 14 14 40 19 17 19 17 40 15 19 1 3 19 11 15 14 40 40 14 15 40 14 40 26 37 15 19 40 4 40 17 20 15 30 14 17 40 19 40 19 40 17 40 34 19 27 40 40 15 31 40 17 19 2 15 40 19 19 6 17 17 40 40 19 14 40 25 19 40 35 40 17 40 40 40 40 15 14 40 19 40 19 40 40 2 8 40 2 25 2 25 26 26 27 14 25 2 2 25 25 27 25 12 11 2 25 26 27 25 25 2 27 39 27 26 25 25 26 2 39 2 25 25 25 25 25 25 39 26 27 25 41 25 7 27 39 25 27 25 8 25 26 26 2 25 26 25 2 8 2 25 7 25 39 25 25 3 25 27 25 8 25 25 26 25 31 26 25 25 25 39 25 2 8 25 25 25 25 7 26 25 13 8 25 25 2 7"
7,3,-0.8391,1.0000,0.5363,-0.3170,0.1165,"9 13 39 38 9 0 39 9 22 38 10 1 0 0 13 39 0 22 9 3 9 11 9 9 39 13 9 3 38 39 1 10 9 0 9 13 1 17 1 9 1 1 9 9 14 1 3 9 9 12 21 9 9 9 13 12 13 38 9 39 3 3 9 39 0 9 3 38 39 13 9 0 9 11 38 38 3 9 38 9 9 3 11 39 39 9 22 39 12 12 38 38 10 9 9 1 21 9 9 0 21 21 41 2 21 21 21 21 21 41 21 41 41 41 21 2 3 38 22 21 21 21 1 41 41 21 17 41 41 41 21 22 41 38 41 17 22 41 41 41 41 13 41 21 21 41 0 41 41 3 0 2 41 41 41 41 3 21 21 41 41 22 41 3 38 1 2 38 0 41 38 21 41 2 1 41 1 41 21 7 41 41 3 3 41 41 41 41 39 2 1 21 1 0 13 41 22 16 21 41 0 12 28 28 3 14 12 0 39 29 37 12 12 1 12 12 12 12 13 3 28 3 28 0 3 15 15 14 3 14 28 28 28 15 38 38 13 3 30 3 12 1 15 0 14 38 14 38 28 12 12 38 12 13 15 28 15 12 15 28 38 28 0 0 3 14 28 1 12 1 12 12 28 3 12 3 38 13 0 12 12 3 15 13 28 1 0 38 38 12 1 28 12 15 14 0 1 29 12 13 41 4 2 4 2 35 19 5 19 14 40 37 19 14 14 40 19 17 19 17 40 15 19 1 3 19 11 15 14 40 40 14 15 40 14 40 26 37 15 19 40 4 40 17 20 15 30 14 17 40 19 40 19 40 17 40 34 19 27 40 40 15 31 40 17 19 2 15 40 19 19 6 17 17 40 40 19 14 40 25 19 40 35 40 17 40 40 40 40 15 14 40 19 40 19 40 40 2 8 40 2 25 2 25 26 26 27 14 25 2 2 25 25 27 25 12 11 2 25 26 27 25 25 2 27 39 27 26 25 25 26 2 39 2 25 25 25 25 25 25 39 26 27 25 41 25 7 27 39 25 27 25 8 25 26 26 2 25 26 25 2 8 2 25 7 25 39 25 25 3 25 27 25 8 25 25 26 25 31 26 25 25 25 39 25 2 8 25 25 25 25 7 26 25 13 8 25 25 2 7"
8,3,-0.8093,1.0000,0.6355,-0.3080,0.0883,"9 13 39 38 9 0 39 9 22 38 10 1 0 0 13 39 0 22 9 3 9 11 9 9 39 13 9 3 38 39 1 10 9 0 9 13 1 17 1 9 1 1 9 9 14 1 3 9 9 12 21 9 9 9 13 12 13 38 9 39 3 3 9 39 0 9 3 38 39 13 9 0 9 11 38 38 3 9 38 9 9 3 11 39 39 9 22 39 12 12 38 38 10 9 9 1 21 9 9 0 21 21 41 2 21 21 21 21 21 41 21 41 41 41 21 2 3 38 22 21 21 21 1 41 41 21 17 41 41 41 21 22 41 38 41 17 22 41 41 41 41 13 41 21 21 41 0 41 41 3 0 2 41 41 41 41 3 21 21 41 41 22 41 3 38 1 2 38 0 41 38 21 41 2 1 41 1 41 21 7 41 41 3 3 41 41 41 41 39 2 1 21 1 0 13 41 22 16 21 41 0 12 28 28 3 14 12 0 39 29 37 12 12 1 12 12 12 12 13 3 28 3 28 0 3 15 15 14 3 14 28 28 28 15 38 38 13 3 30 3 12 1 15 0 14 38 14 38 28 12 12 38 12 13 15 28 15 12 15 28 38 28 0 0 3 14 28 1 12 1 12 12 28 3 12 3 38 13 0 12 12 3 15 13 28 1 0 38 38 12 1 28 12 15 14 0 1 29 12 13 41 4 2 4 2 35 19 5 19 14 40 37 19 14 14 40 19 17 19 17 40 15 19 1 3 19 11 15 14 40 40 14 15 40 14 40 26 37 15 19 40 4 40 17 20 15 30 14 17 40 19 40 19 40 17 40 34 19 27 40 40 15 31 40 17 19 2 15 40 19 19 6 17 17 40 40 19 14 40 25 19 40 35 40 17 40 40 40 40 15 14 40 19 40 19 40 40 2 8 40 2 25 2 25 26 26 27 14 25 2 2 25 25 27 25 12 11 2 25 26 27 25 25 2 27 39 27 26 25 25 26 2 39 2 25 25 25 25 25 25 39 26 27 25 41 25 7 27 39 25 27 25 8 25 26 26 2 25 26 25 2 8 2 25 7 25 39 25 25 3 25 27 25 8 25 25 26 25 31 26 25 25 25 39 25 2 8 25 25 25 25 7 26 25 13 8 25 25 2 7"
9,3,-0.8336,1.0000,0.5548,-0.3218,0.1483,"9 13 39 38 9 0 39 9 22 38 10 1 0 0 13 39 0 22 9 3 9 11 9 9 39 13 9 3 38 39 1 10 9 0 9 13 1 17 1 9 1 1 9 9 14 1 3 9 9 12 21 9 9 9 13 12 13 38 9 39 3 3 9 39 0 9 3 38 39 13 9 0 9 11 38 38 3 9 38 9 9 3 11 39 39 9 22 39 12 12 38 38 10 9 9 1 21 9 9 0 21 21 41 2 21 21 21 21 21 41 21 41 41 41 21 2 3 38 22 21 21 21 1 41 41 21 17 41 41 41 21 22 41 38 41 17 22 41 41 41 41 13 41 21 21 41 0 41 41 3 0 2 41 41 41 41 3 21 21 41 41 22 41 3 38 1 2 38 0 41 38 21 41 2 1 41 1 41 21 7 41 41 3 3 41 41 41 41 39 2 1 21 1 0 13 41 22 16 21 41 0 12 28 28 3 14 12 0 39 29 37 12 12 1 12 12 12 12 13 3 28 3 28 0 3 15 15 14 3 14 28 28 28 15 38 38 13 3 30 3 12 1 15 0 14 38 14 38 28 12 12 38 12 13 15 28 15 12 15 28 38 28 0 0 3 14 28 1 12 1 12 12 28 3 12 3 38 13 0 12 12 3 15 13 28 1 0 38 38 12 1 28 12 15 14 0 1 29 12 13 41 4 2 4 2 35 19 5 19 14 40 37 19 14 14 40 19 17 19 17 40 15 19 1 3 19 11 15 14 40 40 14 15 40 14 40 26 37 15 19 40 4 40 17 20 15 30 14 17 40 19 40 19 40 17 40 34 19 27 40 40 15 31 40 17 19 2 15 40 19 19 6 17 17 40 40 19 14 40 25 19 40 35 40 17 40 40 40 40 15 14 40 19 40 19 40 40 2 8 40 2 25 2 25 26 26 27 14 25 2 2 25 25 27 25 12 11 2 25 26 27 25 25 2 27 39 27 26 25 25 26 2 39 2 25 25 25 25 25 25 39 26 27 25 41 25 7 27 39 25 27 25 8 25 26 26 2 25 26 25 2 8 2 25 7 25 39 25 25 3 25 27 25 8 25 25 26 25 31 26 25 25 25 39 25 2 8 25 25 25 25 7 26 25 13 8 25 25 2 7"
