# seed=28
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5983,0.8750,0.9222,-0.1381,0.2787,"32 6 26 24 13 20 2 15 31 35 42 26 25 35 20 8 37 36 25 42 14 2 35 31 8 21 10 40 29 35 14 10 29 10 21 41 2 15 24 32 8 35 28 38 7 7 37 15 10 3 41 23 15 2 34 3 2 41 38 29 11 24 41 34 39 26 42 6 2 27 10 41 26 10 30 22 0 25 9 6 31 10 39 8 22 2 41 12 1 38 4 6 3 21 18 2 13 6 2 33 31 30 24 32 0 7 6 22 40 30 27 18 39 23 37 37 6 5 4 15 35 11 21 36 36 19 41 15 7 3 2 29 14 35 29 17 36 32 34 17 32 10 27 2 6 14 13 37 32 29 42 20 17 5 26 15 9 24 21 35 37 6 26 13 39 40 42 19 17 20 19 42 18 29 41 20 1 35 26 33 32 16 18 28 18 17 42 38 31 1 26 31 36 19 22 36 20 23 0 24 17 38 27 3 14 3 25 39 18 29 9 28 23 27 31 20 34 12 17 22 29 4 40 22 42 18 15 1 17 9 36 11 7 5 24 31 31 2 39 2 2 40 21 39 34 35 12 18 2 3 32 0 42 32 12 37 0 33 19 6 42 37 11 34 12 8 9 1 17 28 7 31 6 29 26 20 30 19 7 22 8 21 29 7 35 16 35 0 29 23 33 14 3 5 16 31 16 30 5 15 39 41 17 21 16 6 39 1 40 35 27 6 24 22 31 1 23 8 2 17 38 39 15 13 34 20 29 27 34 34 37 39 5 3 10 38 8 21 32 3 36 29 31 15 1 3 25 26 26 17 3 7 14 14 27 6 1 42 12 7 35 25 33 9 26 31 34 29 23 10 2 5 2 14 19 19 36 24 15 29 22 41 14 19 37 6 40 23 2 26 17 3 20 10 0 6 9 34 30 34 32 6 29 31 1 1 35 42 33 18 28 25 42 4 24 0 6 24 8 37 36 5 41 33 17 32 40 32 3 42 38 7 40 22 11 19 36 22 26 37 38 12 24 23 29 40 34 9 34 36 32 23 8 7 16 32 41 1 22 13 7 21 42 15 4 15 0 11 1 6 4 40 17 34 9 13 25 18 15 19 26 33 31 0 5 24 16 26 16 1 37 14 19 22 0 42 22 33 39 14"
1,2,-0.7178,0.9231,0.6843,-0.1821,0.2786,"34 34 36 9 0 11 34 38 2 0 35 2 37 34 34 36 12 9 4 38 34 34 13 12 38 38 12 34 3 0 12 3 36 34 2 36 34 2 0 38 34 38 34 34 34 5 25 38 1 13 34 27 12 35 34 34 34 35 34 35 34 34 34 35 3 34 10 3 2 34 35 38 34 35 34 25 13 3 34 34 34 19 34 34 35 27 34 35 3 34 34 34 2 12 34 34 34 34 36 34 27 20 25 26 8 25 26 8 25 25 25 25 25 8 40 20 12 27 25 25 25 25 19 25 2 25 20 12 27 2 12 25 26 27 27 25 25 7 25 27 12 27 5 25 12 6 12 25 27 37 19 6 2 12 27 27 25 20 8 25 25 25 6 7 20 25 25 25 12 25 25 8 27 7 25 25 25 26 25 2 37 25 27 25 25 26 7 5 25 26 25 7 25 25 25 25 2 25 2 27 36 28 35 28 28 28 12 28 28 28 34 28 28 17 29 28 34 28 34 12 29 29 28 28 34 28 34 1 28 21 36 36 17 35 18 35 28 28 28 12 28 28 34 36 34 34 28 17 29 28 34 36 17 28 34 17 35 36 28 34 12 28 22 17 28 28 17 34 29 28 34 28 35 30 28 28 12 28 34 28 21 28 34 7 28 28 29 28 28 22 34 29 36 34 28 29 28 34 36 28 3 3 42 35 0 2 6 3 42 0 42 0 3 0 31 34 34 4 3 42 31 5 34 0 0 38 34 32 3 42 0 0 31 2 4 3 34 33 6 35 3 0 42 2 31 0 3 0 3 42 0 42 0 0 3 3 6 42 42 34 36 42 4 3 0 0 42 42 34 3 42 36 37 36 4 2 31 42 1 31 42 0 3 31 3 3 31 3 3 16 42 42 4 2 41 0 42 35 3 3 32 29 29 31 1 1 12 12 33 12 12 29 42 30 24 29 6 24 29 28 36 28 41 12 12 32 12 32 12 28 30 12 12 22 12 12 12 28 12 37 30 29 12 12 28 40 12 12 29 28 28 12 8 7 28 12 12 29 30 13 12 21 42 15 12 15 12 12 1 12 12 40 17 12 9 12 30 18 28 12 26 33 30 0 12 29 16 26 12 1 12 12 30 12 30 12 12 33 29 28"
2,3,-0.7334,0.9259,0.6417,-0.2293,0.2430,"28 5 6 2 2 29 25 2 25 2 30 26 25 2 37 25 4 2 2 2 4 25 5 2 2 42 2 4 2 2 2 25 25 30 2 2 2 25 37 2 2 2 2 2 2 2 2 2 2 2 2 2 18 2 2 2 25 2 2 25 5 27 2 2 2 2 2 28 2 4 2 4 2 2 2 25 2 2 2 25 28 30 25 2 2 2 2 25 37 2 2 2 42 2 2 28 28 2 28 6 36 36 36 34 34 17 34 34 34 34 34 34 31 34 34 13 35 18 34 12 34 35 34 34 34 12 34 34 36 34 34 34 34 34 34 12 36 18 36 34 34 34 34 35 36 34 36 34 17 34 34 34 34 12 34 34 34 34 34 34 34 34 34 34 35 36 34 34 34 34 34 34 34 34 34 12 34 34 36 36 34 35 34 12 34 12 34 35 34 35 34 34 34 36 34 17 34 12 18 34 19 12 12 2 12 2 2 6 2 4 20 2 5 11 19 2 12 37 5 4 12 2 4 19 2 10 19 2 9 5 2 2 2 37 19 10 12 12 6 20 12 2 12 2 2 2 2 2 37 2 2 2 6 2 5 12 2 12 4 2 2 20 19 2 2 11 37 20 6 2 2 4 37 12 9 19 5 2 4 20 5 2 2 2 4 2 10 11 9 2 11 10 2 20 37 12 6 5 2 12 25 24 26 37 12 12 24 5 12 25 42 24 12 42 2 42 42 42 42 23 12 42 12 42 12 12 42 12 42 24 42 42 27 5 23 7 12 23 42 37 4 12 42 23 42 2 42 12 42 2 12 24 42 7 12 12 12 42 27 12 2 42 12 37 12 42 42 12 12 42 42 2 42 42 42 12 12 37 23 2 42 2 42 42 42 5 42 42 2 2 12 42 42 24 12 24 24 42 4 42 12 2 2 2 2 2 2 2 2 2 2 5 12 4 39 5 12 39 2 6 2 5 16 2 39 39 12 2 5 2 37 2 2 12 5 2 37 39 39 12 6 2 6 16 2 4 39 39 2 2 2 12 39 39 12 4 39 39 39 2 39 0 39 39 2 6 12 4 39 12 12 4 37 39 39 2 2 37 35 2 6 2 12 39 2 2 39 39 1 5 2 21 39 39 5 2 38 39 2 6"
3,4,-0.7666,0.9545,0.6266,-0.2580,0.2405,"34 34 36 9 0 11 34 38 2 0 35 2 37 34 34 36 12 9 4 38 34 34 13 12 38 38 12 34 3 0 12 3 36 34 2 36 34 2 0 38 34 38 34 34 34 5 25 38 1 13 34 27 12 35 34 34 34 35 34 35 34 34 34 35 3 34 10 3 2 34 35 38 34 35 34 25 13 3 34 34 34 19 34 34 35 27 34 35 3 34 34 34 2 12 34 34 34 34 36 34 27 20 25 26 8 25 26 8 25 25 25 25 25 8 40 20 12 27 25 25 25 25 19 25 2 25 20 12 27 2 12 25 26 27 27 25 25 7 25 27 12 27 5 25 12 6 12 25 27 37 19 6 2 12 27 27 25 20 8 25 25 25 6 7 20 25 25 25 12 25 25 8 27 7 25 25 25 26 25 2 37 25 27 25 25 26 7 5 25 26 25 7 25 25 25 25 2 25 2 27 36 28 35 28 28 28 12 28 28 28 34 28 28 17 29 28 34 28 34 12 29 29 28 28 34 28 34 1 28 21 36 36 17 35 18 35 28 28 28 12 28 28 34 36 34 34 28 17 29 28 34 36 17 28 34 17 35 36 28 34 12 28 22 17 28 28 17 34 29 28 34 28 35 30 28 28 12 28 34 28 21 28 34 7 28 28 29 28 28 22 34 29 36 34 28 29 28 34 36 28 3 3 42 35 0 2 6 3 42 0 42 0 3 0 31 34 34 4 3 42 31 5 34 0 0 38 34 32 3 42 0 0 31 2 4 3 34 33 6 35 3 0 42 2 31 0 3 0 3 42 0 42 0 0 3 3 6 42 42 34 36 42 4 3 0 0 42 42 34 3 42 36 37 36 4 2 31 42 1 31 42 0 3 31 3 3 31 3 3 16 42 42 4 2 41 0 42 35 3 3 32 29 29 31 1 1 12 12 33 12 12 29 42 30 24 29 6 24 29 28 36 28 41 12 12 32 12 32 12 28 30 12 12 22 12 12 12 28 12 37 30 29 12 12 28 40 12 12 29 28 28 12 8 7 28 12 12 29 30 13 12 21 42 15 12 15 12 12 1 12 12 40 17 12 9 12 30 18 28 12 26 33 30 0 12 29 16 26 12 1 12 12 30 12 30 12 12 33 29 28"
4,5,-0.7830,0.9565,0.5785,-0.2841,0.1656,"2 12 2 2 1 12 19 2 2 12 2 5 19 2 2 37 15 2 2 41 2 14 4 12 4 2 6 6 2 2 41 12 5 38 4 37 12 6 2 6 37 6 37 37 6 4 4 2 2 12 6 2 2 37 4 5 2 2 37 37 37 2 37 5 2 4 2 2 2 37 2 2 5 6 5 2 5 2 37 12 2 6 37 37 37 5 1 14 37 2 37 4 2 2 37 2 5 2 12 41 2 2 12 12 2 2 5 2 37 2 7 2 11 2 5 17 2 18 2 2 2 2 2 2 2 6 2 2 2 18 2 7 2 5 6 2 5 2 12 2 6 2 2 37 17 2 18 2 12 2 18 12 2 6 12 17 2 18 37 6 2 4 2 2 2 17 8 12 12 2 4 2 2 2 2 12 12 2 5 17 2 17 5 6 4 12 12 2 12 4 12 2 4 17 12 2 2 2 5 9 39 3 3 19 20 39 39 39 0 20 3 39 25 19 3 39 0 39 0 0 25 0 20 2 39 26 19 0 39 0 0 3 39 39 19 39 3 25 27 2 39 0 3 3 3 18 3 3 3 0 19 19 19 0 25 39 39 39 19 3 0 19 0 20 19 0 0 39 19 3 3 39 0 3 19 0 25 39 3 10 20 0 25 19 8 3 3 20 19 41 8 0 39 26 3 20 0 3 39 3 39 7 13 39 7 39 7 7 7 8 39 7 7 8 39 7 1 39 25 8 39 39 39 7 39 7 39 8 39 3 38 39 7 39 39 1 39 39 8 8 8 7 7 39 0 39 7 39 38 39 39 27 38 7 38 7 39 7 7 39 8 0 39 39 39 39 7 7 27 39 7 39 39 8 7 39 0 38 7 39 38 7 38 39 39 7 7 7 39 7 39 39 7 25 39 0 7 1 39 7 39 17 12 12 12 12 12 18 12 12 3 3 12 12 3 12 3 18 12 12 17 18 12 18 17 0 17 18 3 12 0 12 12 39 3 0 0 12 12 17 12 3 12 17 0 18 12 3 12 18 17 12 12 3 12 3 39 0 12 12 17 0 18 12 3 0 3 12 24 12 12 12 12 18 39 18 23 17 12 18 12 23 18 0 3 0 17 0 12 12 12 0 18 0 3 0 12 18 12 12"
5,6,-0.8056,0.9630,0.5244,-0.2720,0.1758,"2 12 2 2 1 12 19 2 2 12 2 5 19 2 2 37 15 2 2 41 2 14 4 12 4 2 6 6 2 2 41 12 5 38 4 37 12 6 2 6 37 6 37 37 6 4 4 2 2 12 6 2 2 37 4 5 2 2 37 37 37 2 37 5 2 4 2 2 2 37 2 2 5 6 5 2 5 2 37 12 2 6 37 37 37 5 1 14 37 2 37 4 2 2 37 2 5 2 12 41 2 2 12 12 2 2 5 2 37 2 7 2 11 2 5 17 2 18 2 2 2 2 2 2 2 6 2 2 2 18 2 7 2 5 6 2 5 2 12 2 6 2 2 37 17 2 18 2 12 2 18 12 2 6 12 17 2 18 37 6 2 4 2 2 2 17 8 12 12 2 4 2 2 2 2 12 12 2 5 17 2 17 5 6 4 12 12 2 12 4 12 2 4 17 12 2 2 2 5 9 39 3 3 19 20 39 39 39 0 20 3 39 25 19 3 39 0 39 0 0 25 0 20 2 39 26 19 0 39 0 0 3 39 39 19 39 3 25 27 2 39 0 3 3 3 18 3 3 3 0 19 19 19 0 25 39 39 39 19 3 0 19 0 20 19 0 0 39 19 3 3 39 0 3 19 0 25 39 3 10 20 0 25 19 8 3 3 20 19 41 8 0 39 26 3 20 0 3 39 3 39 7 13 39 7 39 7 7 7 8 39 7 7 8 39 7 1 39 25 8 39 39 39 7 39 7 39 8 39 3 38 39 7 39 39 1 39 39 8 8 8 7 7 39 0 39 7 39 38 39 39 27 38 7 38 7 39 7 7 39 8 0 39 39 39 39 7 7 27 39 7 39 39 8 7 39 0 38 7 39 38 7 38 39 39 7 7 7 39 7 39 39 7 25 39 0 7 1 39 7 39 17 12 12 12 12 12 18 12 12 3 3 12 12 3 12 3 18 12 12 17 18 12 18 17 0 17 18 3 12 0 12 12 39 3 0 0 12 12 17 12 3 12 17 0 18 12 3 12 18 17 12 12 3 12 3 39 0 12 12 17 0 18 12 3 0 3 12 24 12 12 12 12 18 39 18 23 17 12 18 12 23 18 0 3 0 17 0 12 12 12 0 18 0 3 0 12 18 12 12"
6,7,-0.8173,0.9630,0.4854,-0.2925,0.1940,"25 29 26 12 12 25 22 25 25 26 39 27 39 12 39 39 12 12 22 9 39 25 39 25 22 39 22 25 25 12 39 25 39 12 25 12 30 12 21 9 12 39 39 29 12 12 25 12 12 12 22 39 22 12 12 39 39 12 39 26 26 25 12 39 30 12 9 12 39 39 39 12 12 39 25 9 12 22 39 39 6 12 21 12 25 12 12 39 12 25 22 25 39 39 21 25 25 21 39 6 3 0 0 38 25 25 26 3 25 38 27 1 0 25 25 25 27 9 3 27 25 3 25 38 3 27 0 1 38 13 0 3 3 25 3 0 25 12 13 38 25 25 26 25 25 25 1 0 26 1 1 13 0 3 13 25 17 1 3 1 3 25 1 38 25 27 25 25 25 26 25 3 25 3 1 3 3 18 18 1 12 3 25 25 25 26 38 27 1 27 25 25 13 25 25 26 27 25 13 27 0 41 1 25 38 1 26 13 0 25 25 25 23 25 38 25 26 25 1 1 24 11 0 1 25 25 41 25 23 13 0 13 13 0 3 1 23 41 25 1 25 3 3 25 25 25 25 41 3 25 13 38 38 38 27 38 41 24 25 25 12 3 0 25 25 25 25 38 26 26 25 13 27 25 13 38 27 26 41 13 41 38 25 35 10 38 23 25 25 0 25 25 25 27 25 38 41 41 41 25 25 31 27 25 33 25 25 7 26 31 31 31 1 25 25 12 27 31 25 25 25 25 25 25 25 25 25 31 13 0 25 31 25 27 25 27 0 7 31 7 1 3 8 25 25 0 26 25 25 1 25 26 31 3 26 25 25 0 13 25 25 25 32 7 25 25 26 26 25 7 31 0 27 27 25 31 38 7 7 25 26 13 3 31 32 31 1 31 8 3 7 12 0 25 31 25 25 25 26 31 24 34 24 12 23 12 12 24 31 12 12 12 35 12 12 25 34 12 12 36 34 24 36 12 23 12 40 40 12 25 26 12 12 12 23 24 12 24 34 24 12 24 12 25 31 24 23 32 23 27 34 31 27 24 23 24 34 12 23 12 24 40 40 12 26 24 12 23 23 12 25 40 12 40 24 25 12 23 34 40 25 40 40 40 40 40 12 23 24 35 26 12 12 25 25 23 12 34 12 31"
7,7,-0.8127,1.0000,0.6242,-0.2907,0.1832,"25 29 26 12 12 25 22 25 25 26 39 27 39 12 39 39 12 12 22 9 39 25 39 25 22 39 22 25 25 12 39 25 39 12 25 12 30 12 21 9 12 39 39 29 12 12 25 12 12 12 22 39 22 12 12 39 39 12 39 26 26 25 12 39 30 12 9 12 39 39 39 12 12 39 25 9 12 22 39 39 6 12 21 12 25 12 12 39 12 25 22 25 39 39 21 25 25 21 39 6 3 0 0 38 25 25 26 3 25 38 27 1 0 25 25 25 27 9 3 27 25 3 25 38 3 27 0 1 38 13 0 3 3 25 3 0 25 12 13 38 25 25 26 25 25 25 1 0 26 1 1 13 0 3 13 25 17 1 3 1 3 25 1 38 25 27 25 25 25 26 25 3 25 3 1 3 3 18 18 1 12 3 25 25 25 26 38 27 1 27 25 25 13 25 25 26 27 25 13 27 0 41 1 25 38 1 26 13 0 25 25 25 23 25 38 25 26 25 1 1 24 11 0 1 25 25 41 25 23 13 0 13 13 0 3 1 23 41 25 1 25 3 3 25 25 25 25 41 3 25 13 38 38 38 27 38 41 24 25 25 12 3 0 25 25 25 25 38 26 26 25 13 27 25 13 38 27 26 41 13 41 38 25 35 10 38 23 25 25 0 25 25 25 27 25 38 41 41 41 25 25 31 27 25 33 25 25 7 26 31 31 31 1 25 25 12 27 31 25 25 25 25 25 25 25 25 25 31 13 0 25 31 25 27 25 27 0 7 31 7 1 3 8 25 25 0 26 25 25 1 25 26 31 3 26 25 25 0 13 25 25 25 32 7 25 25 26 26 25 7 31 0 27 27 25 31 38 7 7 25 26 13 3 31 32 31 1 31 8 3 7 12 0 25 31 25 25 25 26 31 24 34 24 12 23 12 12 24 31 12 12 12 35 12 12 25 34 12 12 36 34 24 36 12 23 12 40 40 12 25 26 12 12 12 23 24 12 24 34 24 12 24 12 25 31 24 23 32 23 27 34 31 27 24 23 24 34 12 23 12 24 40 40 12 26 24 12 23 23 12 25 40 12 40 24 25 12 23 34 40 25 40 40 40 40 40 12 23 24 35 26 12 12 25 25 23 12 34 12 31"
8,8,-0.8407,1.0000,0.5311,-0.2945,0.1931,"25 29 26 12 12 25 22 25 25 26 39 27 39 12 39 39 12 12 22 9 39 25 39 25 22 39 22 25 25 12 39 25 39 12 25 12 30 12 21 9 12 39 39 29 12 12 25 12 12 12 22 39 22 12 12 39 39 12 39 26 26 25 12 39 30 12 9 12 39 39 39 12 12 39 25 9 12 22 39 39 6 12 21 12 25 12 12 39 12 25 22 25 39 39 21 25 25 21 39 6 3 0 0 38 25 25 26 3 25 38 27 1 0 25 25 25 27 9 3 27 25 3 25 38 3 27 0 1 38 13 0 3 3 25 3 0 25 12 13 38 25 25 26 25 25 25 1 0 26 1 1 13 0 3 13 25 17 1 3 1 3 25 1 38 25 27 25 25 25 26 25 3 25 3 1 3 3 18 18 1 12 3 25 25 25 26 38 27 1 27 25 25 13 25 25 26 27 25 13 27 0 41 1 25 38 1 26 13 0 25 25 25 23 25 38 25 26 25 1 1 24 11 0 1 25 25 41 25 23 13 0 13 13 0 3 1 23 41 25 1 25 3 3 25 25 25 25 41 3 25 13 38 38 38 27 38 41 24 25 25 12 3 0 25 25 25 25 38 26 26 25 13 27 25 13 38 27 26 41 13 41 38 25 35 10 38 23 25 25 0 25 25 25 27 25 38 41 41 41 25 25 31 27 25 33 25 25 7 26 31 31 31 1 25 25 12 27 31 25 25 25 25 25 25 25 25 25 31 13 0 25 31 25 27 25 27 0 7 31 7 1 3 8 25 25 0 26 25 25 1 25 26 31 3 26 25 25 0 13 25 25 25 32 7 25 25 26 26 25 7 31 0 27 27 25 31 38 7 7 25 26 13 3 31 32 31 1 31 8 3 7 12 0 25 31 25 25 25 26 31 24 34 24 12 23 12 12 24 31 12 12 12 35 12 12 25 34 12 12 36 34 24 36 12 23 12 40 40 12 25 26 12 12 12 23 24 12 24 34 24 12 24 12 25 31 24 23 32 23 27 34 31 27 24 23 24 34 12 23 12 24 40 40 12 26 24 12 23 23 12 25 40 12 40 24 25 12 23 34 40 25 40 40 40 40 40 12 23 24 35 26 12 12 25 25 23 12 34 12 31"
9,8,-0.8247,1.0000,0.5843,-0.2880,0.1552,"25 29 26 12 12 25 22 25 25 26 39 27 39 12 39 39 12 12 22 9 39 25 39 25 22 39 22 25 25 12 39 25 39 12 25 12 30 12 21 9 12 39 39 29 12 12 25 12 12 12 22 39 22 12 12 39 39 12 39 26 26 25 12 39 30 12 9 12 39 39 39 12 12 39 25 9 12 22 39 39 6 12 21 12 25 12 12 39 12 25 22 25 39 39 21 25 25 21 39 6 3 0 0 38 25 25 26 3 25 38 27 1 0 25 25 25 27 9 3 27 25 3 25 38 3 27 0 1 38 13 0 3 3 25 3 0 25 12 13 38 25 25 26 25 25 25 1 0 26 1 1 13 0 3 13 25 17 1 3 1 3 25 1 38 25 27 25 25 25 26 25 3 25 3 1 3 3 18 18 1 12 3 25 25 25 26 38 27 1 27 25 25 13 25 25 26 27 25 13 27 0 41 1 25 38 1 26 13 0 25 25 25 23 25 38 25 26 25 1 1 24 11 0 1 25 25 41 25 23 13 0 13 13 0 3 1 23 41 25 1 25 3 3 25 25 25 25 41 3 25 13 38 38 38 27 38 41 24 25 25 12 3 0 25 25 25 25 38 26 26 25 13 27 25 13 38 27 26 41 13 41 38 25 35 10 38 23 25 25 0 25 25 25 27 25 38 41 41 41 25 25 31 27 25 33 25 25 7 26 31 31 31 1 25 25 12 27 31 25 25 25 25 25 25 25 25 25 31 13 0 25 31 25 27 25 27 0 7 31 7 1 3 8 25 25 0 26 25 25 1 25 26 31 3 26 25 25 0 13 25 25 25 32 7 25 25 26 26 25 7 31 0 27 27 25 31 38 7 7 25 26 13 3 31 32 31 1 31 8 3 7 12 0 25 31 25 25 25 26 31 24 34 24 12 23 12 12 24 31 12 12 12 35 12 12 25 34 12 12 36 34 24 36 12 23 12 40 40 12 25 26 12 12 12 23 24 12 24 34 24 12 24 12 25 31 24 23 32 23 27 34 31 27 24 23 24 34 12 23 12 24 40 40 12 26 24 12 23 23 12 25 40 12 40 24 25 12 23 34 40 25 40 40 40 40 40 12 23 24 35 26 12 12 25 25 23 12 34 12 31"
