# seed=-123456
# instance=PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.3,pMin=0.02,alpha=0.9)
# selection=NaryTournament(k=3)
# elitism=3
# lambda_similarity=0.3
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.8824,0.8824,0.0000,-0.2166,0.1681,"21 0 1 15 18 24 5 42 42 10 28 29 1 3 5 16 17 18 15 31 22 2 32 26 31 35 11 22 6 9 0 10 16 30 39 32 17 8 28 19 6 17 40 8 42 13 21 4 21 17 11 14 2 24 24 30 29 7 4 28 12 18 35 1 9 2 5 37 14 32 3 33 22 37 40 11 14 34 40 18 40 30 2 29 12 5 15 18 6 0 3 26 16 32 2 19 0 5 18 13 14 23 4 41 21 6 5 17 22 38 17 29 7 22 15 15 7 24 20 13 40 38 7 38 10 39 41 10 19 10 5 12 10 39 7 11 5 11 23 2 4 5 1 41 31 16 10 35 5 11 2 4 29 22 5 0 28 35 36 33 22 31 38 35 33 21 16 23 9 37 5 8 10 14 32 9 3 25 24 2 30 9 8 5 30 11 13 22 3 40 13 32 32 35 34 6 21 2 42 13 25 12 17 6 16 13 30 24 35 24 27 30 30 33 29 42 26 35 33 29 1 22 20 0 33 1 34 6 24 28 9 19 42 19 24 34 23 1 41 5 4 42 32 39 24 32 27 14 11 19 30 21 30 35 24 1 15 38 35 11 35 0 1 8 5 40 41 7 9 9 36 34 39 36 28 33 0 26 13 34 5 19 41 23 5 14 5 17 13 18 25 11 22 23 1 42 2 9 7 18 19 39 40 17 12 15 27 13 36 19 33 0 1 7 24 42 41 32 35 13 9 29 23 14 17 13 10 21 20 42 0 2 11 7 15 35 42 31 33 7 23 38 9 25 26 0 9 36 31 9 0 33 4 12 23 42 10 36 8 30 9 8 6 0 41 38 17 7 2 38 20 14 12 5 21 16 37 10 2 6 17 10 41 23 37 39 29 16 5 22 5 33 1 13 28 20 6 40 26 23 6 17 30 40 5 25 12 42 6 42 8 21 2 19 1 3 0 35 8 9 41 9 12 11 16 40 24 7 5 28 21 14 25 5 37 14 27 25 32 13 2 7 23 16 1 22 40 42 34 12 0 41 21 36 40 15 36 12 29 9 36 3 21 19 19 20 17 33 13 26 32 14 33 27 9 41 2 40 27 28 23 3 28 25 32 8 21 12 23 14 16 34 40 28 17 34 41 11 20 20"
1,1,-0.8824,0.8824,0.0000,-0.2011,0.1643,"21 0 1 15 18 24 5 42 42 10 28 29 1 3 5 16 17 18 15 31 22 2 32 26 31 35 11 22 6 9 0 10 16 30 39 32 17 8 28 19 6 17 40 8 42 13 21 4 21 17 11 14 2 24 24 30 29 7 4 28 12 18 35 1 9 2 5 37 14 32 3 33 22 37 40 11 14 34 40 18 40 30 2 29 12 5 15 18 6 0 3 26 16 32 2 19 0 5 18 13 14 23 4 41 21 6 5 17 22 38 17 29 7 22 15 15 7 24 20 13 40 38 7 38 10 39 41 10 19 10 5 12 10 39 7 11 5 11 23 2 4 5 1 41 31 16 10 35 5 11 2 4 29 22 5 0 28 35 36 33 22 31 38 35 33 21 16 23 9 37 5 8 10 14 32 9 3 25 24 2 30 9 8 5 30 11 13 22 3 40 13 32 32 35 34 6 21 2 42 13 25 12 17 6 16 13 30 24 35 24 27 30 30 33 29 42 26 35 33 29 1 22 20 0 33 1 34 6 24 28 9 19 42 19 24 34 23 1 41 5 4 42 32 39 24 32 27 14 11 19 30 21 30 35 24 1 15 38 35 11 35 0 1 8 5 40 41 7 9 9 36 34 39 36 28 33 0 26 13 34 5 19 41 23 5 14 5 17 13 18 25 11 22 23 1 42 2 9 7 18 19 39 40 17 12 15 27 13 36 19 33 0 1 7 24 42 41 32 35 13 9 29 23 14 17 13 10 21 20 42 0 2 11 7 15 35 42 31 33 7 23 38 9 25 26 0 9 36 31 9 0 33 4 12 23 42 10 36 8 30 9 8 6 0 41 38 17 7 2 38 20 14 12 5 21 16 37 10 2 6 17 10 41 23 37 39 29 16 5 22 5 33 1 13 28 20 6 40 26 23 6 17 30 40 5 25 12 42 6 42 8 21 2 19 1 3 0 35 8 9 41 9 12 11 16 40 24 7 5 28 21 14 25 5 37 14 27 25 32 13 2 7 23 16 1 22 40 42 34 12 0 41 21 36 40 15 36 12 29 9 36 3 21 19 19 20 17 33 13 26 32 14 33 27 9 41 2 40 27 28 23 3 28 25 32 8 21 12 23 14 16 34 40 28 17 34 41 11 20 20"
2,1,-0.8824,0.8824,0.0000,-0.2082,0.1683,"21 0 1 15 18 24 5 42 42 10 28 29 1 3 5 16 17 18 15 31 22 2 32 26 31 35 11 22 6 9 0 10 16 30 39 32 17 8 28 19 6 17 40 8 42 13 21 4 21 17 11 14 2 24 24 30 29 7 4 28 12 18 35 1 9 2 5 37 14 32 3 33 22 37 40 11 14 34 40 18 40 30 2 29 12 5 15 18 6 0 3 26 16 32 2 19 0 5 18 13 14 23 4 41 21 6 5 17 22 38 17 29 7 22 15 15 7 24 20 13 40 38 7 38 10 39 41 10 19 10 5 12 10 39 7 11 5 11 23 2 4 5 1 41 31 16 10 35 5 11 2 4 29 22 5 0 28 35 36 33 22 31 38 35 33 21 16 23 9 37 5 8 10 14 32 9 3 25 24 2 30 9 8 5 30 11 13 22 3 40 13 32 32 35 34 6 21 2 42 13 25 12 17 6 16 13 30 24 35 24 27 30 30 33 29 42 26 35 33 29 1 22 20 0 33 1 34 6 24 28 9 19 42 19 24 34 23 1 41 5 4 42 32 39 24 32 27 14 11 19 30 21 30 35 24 1 15 38 35 11 35 0 1 8 5 40 41 7 9 9 36 34 39 36 28 33 0 26 13 34 5 19 41 23 5 14 5 17 13 18 25 11 22 23 1 42 2 9 7 18 19 39 40 17 12 15 27 13 36 19 33 0 1 7 24 42 41 32 35 13 9 29 23 14 17 13 10 21 20 42 0 2 11 7 15 35 42 31 33 7 23 38 9 25 26 0 9 36 31 9 0 33 4 12 23 42 10 36 8 30 9 8 6 0 41 38 17 7 2 38 20 14 12 5 21 16 37 10 2 6 17 10 41 23 37 39 29 16 5 22 5 33 1 13 28 20 6 40 26 23 6 17 30 40 5 25 12 42 6 42 8 21 2 19 1 3 0 35 8 9 41 9 12 11 16 40 24 7 5 28 21 14 25 5 37 14 27 25 32 13 2 7 23 16 1 22 40 42 34 12 0 41 21 36 40 15 36 12 29 9 36 3 21 19 19 20 17 33 13 26 32 14 33 27 9 41 2 40 27 28 23 3 28 25 32 8 21 12 23 14 16 34 40 28 17 34 41 11 20 20"
3,1,-0.8824,0.8824,0.0000,-0.2205,0.1624,"21 0 1 15 18 24 5 42 42 10 28 29 1 3 5 16 17 18 15 31 22 2 32 26 31 35 11 22 6 9 0 10 16 30 39 32 17 8 28 19 6 17 40 8 42 13 21 4 21 17 11 14 2 24 24 30 29 7 4 28 12 18 35 1 9 2 5 37 14 32 3 33 22 37 40 11 14 34 40 18 40 30 2 29 12 5 15 18 6 0 3 26 16 32 2 19 0 5 18 13 14 23 4 41 21 6 5 17 22 38 17 29 7 22 15 15 7 24 20 13 40 38 7 38 10 39 41 10 19 10 5 12 10 39 7 11 5 11 23 2 4 5 1 41 31 16 10 35 5 11 2 4 29 22 5 0 28 35 36 33 22 31 38 35 33 21 16 23 9 37 5 8 10 14 32 9 3 25 24 2 30 9 8 5 30 11 13 22 3 40 13 32 32 35 34 6 21 2 42 13 25 12 17 6 16 13 30 24 35 24 27 30 30 33 29 42 26 35 33 29 1 22 20 0 33 1 34 6 24 28 9 19 42 19 24 34 23 1 41 5 4 42 32 39 24 32 27 14 11 19 30 21 30 35 24 1 15 38 35 11 35 0 1 8 5 40 41 7 9 9 36 34 39 36 28 33 0 26 13 34 5 19 41 23 5 14 5 17 13 18 25 11 22 23 1 42 2 9 7 18 19 39 40 17 12 15 27 13 36 19 33 0 1 7 24 42 41 32 35 13 9 29 23 14 17 13 10 21 20 42 0 2 11 7 15 35 42 31 33 7 23 38 9 25 26 0 9 36 31 9 0 33 4 12 23 42 10 36 8 30 9 8 6 0 41 38 17 7 2 38 20 14 12 5 21 16 37 10 2 6 17 10 41 23 37 39 29 16 5 22 5 33 1 13 28 20 6 40 26 23 6 17 30 40 5 25 12 42 6 42 8 21 2 19 1 3 0 35 8 9 41 9 12 11 16 40 24 7 5 28 21 14 25 5 37 14 27 25 32 13 2 7 23 16 1 22 40 42 34 12 0 41 21 36 40 15 36 12 29 9 36 3 21 19 19 20 17 33 13 26 32 14 33 27 9 41 2 40 27 28 23 3 28 25 32 8 21 12 23 14 16 34 40 28 17 34 41 11 20 20"
4,1,-0.8824,0.8824,0.0000,-0.2139,0.1834,"21 0 1 15 18 24 5 42 42 10 28 29 1 3 5 16 17 18 15 31 22 2 32 26 31 35 11 22 6 9 0 10 16 30 39 32 17 8 28 19 6 17 40 8 42 13 21 4 21 17 11 14 2 24 24 30 29 7 4 28 12 18 35 1 9 2 5 37 14 32 3 33 22 37 40 11 14 34 40 18 40 30 2 29 12 5 15 18 6 0 3 26 16 32 2 19 0 5 18 13 14 23 4 41 21 6 5 17 22 38 17 29 7 22 15 15 7 24 20 13 40 38 7 38 10 39 41 10 19 10 5 12 10 39 7 11 5 11 23 2 4 5 1 41 31 16 10 35 5 11 2 4 29 22 5 0 28 35 36 33 22 31 38 35 33 21 16 23 9 37 5 8 10 14 32 9 3 25 24 2 30 9 8 5 30 11 13 22 3 40 13 32 32 35 34 6 21 2 42 13 25 12 17 6 16 13 30 24 35 24 27 30 30 33 29 42 26 35 33 29 1 22 20 0 33 1 34 6 24 28 9 19 42 19 24 34 23 1 41 5 4 42 32 39 24 32 27 14 11 19 30 21 30 35 24 1 15 38 35 11 35 0 1 8 5 40 41 7 9 9 36 34 39 36 28 33 0 26 13 34 5 19 41 23 5 14 5 17 13 18 25 11 22 23 1 42 2 9 7 18 19 39 40 17 12 15 27 13 36 19 33 0 1 7 24 42 41 32 35 13 9 29 23 14 17 13 10 21 20 42 0 2 11 7 15 35 42 31 33 7 23 38 9 25 26 0 9 36 31 9 0 33 4 12 23 42 10 36 8 30 9 8 6 0 41 38 17 7 2 38 20 14 12 5 21 16 37 10 2 6 17 10 41 23 37 39 29 16 5 22 5 33 1 13 28 20 6 40 26 23 6 17 30 40 5 25 12 42 6 42 8 21 2 19 1 3 0 35 8 9 41 9 12 11 16 40 24 7 5 28 21 14 25 5 37 14 27 25 32 13 2 7 23 16 1 22 40 42 34 12 0 41 21 36 40 15 36 12 29 9 36 3 21 19 19 20 17 33 13 26 32 14 33 27 9 41 2 40 27 28 23 3 28 25 32 8 21 12 23 14 16 34 40 28 17 34 41 11 20 20"
5,2,-0.9444,0.9444,0.0000,-0.2118,0.1924,"25 12 8 7 26 26 25 12 7 8 31 26 25 39 12 7 7 7 32 8 7 7 26 7 39 27 8 32 25 8 27 25 32 26 7 26 25 25 33 26 27 26 7 33 32 25 7 12 31 7 25 8 32 39 27 25 25 33 26 25 26 25 12 8 12 27 27 25 8 7 7 7 39 8 7 25 39 8 27 7 7 27 8 26 8 31 7 7 7 39 26 2 8 39 27 0 7 8 8 26 25 3 0 25 39 0 16 3 25 10 25 39 12 25 39 27 39 27 27 0 27 25 2 12 26 39 39 25 12 26 39 27 25 12 39 26 39 25 3 11 25 25 39 0 3 27 0 26 12 39 10 25 27 12 26 27 39 27 27 9 12 0 12 26 27 41 25 12 2 26 23 12 27 27 39 25 26 11 26 39 12 25 27 27 26 25 27 27 41 39 12 0 27 12 3 12 25 27 3 3 35 36 34 20 34 36 34 36 12 12 31 33 33 12 34 20 35 32 33 39 36 35 17 36 36 17 35 31 12 34 20 9 12 31 20 33 31 19 34 34 19 33 32 36 35 35 32 39 35 39 12 32 19 36 39 34 12 34 20 33 31 34 35 20 12 32 36 18 12 31 36 17 34 34 35 20 34 31 32 32 6 34 19 33 36 19 35 36 11 20 18 35 39 19 17 34 12 31 34 20 30 8 8 0 33 12 30 34 7 28 12 30 36 8 3 8 7 30 29 28 12 29 30 30 12 8 35 29 12 7 28 7 32 33 7 31 8 8 0 34 28 8 8 39 30 33 39 8 7 29 7 28 7 28 28 8 8 30 31 36 7 29 7 12 8 28 7 32 28 8 8 7 10 7 7 28 12 7 31 7 41 39 7 8 7 8 8 29 38 32 34 30 28 7 8 33 12 0 11 7 39 12 26 40 12 12 25 20 12 12 33 27 27 28 27 39 25 39 12 39 27 12 12 25 39 12 39 7 12 21 28 31 27 26 39 29 26 25 39 12 39 39 28 32 8 28 27 28 19 12 28 12 26 36 39 12 39 12 25 39 27 32 12 28 12 28 27 25 29 12 12 28 27 12 30 27 27 12 28 28 26 29 33 21 26 25 39 31 12 15 37 23 33 28 12 12 26 29 39 12"
6,2,-0.9444,0.9444,0.0000,-0.2165,0.1841,"25 12 8 7 26 26 25 12 7 8 31 26 25 39 12 7 7 7 32 8 7 7 26 7 39 27 8 32 25 8 27 25 32 26 7 26 25 25 33 26 27 26 7 33 32 25 7 12 31 7 25 8 32 39 27 25 25 33 26 25 26 25 12 8 12 27 27 25 8 7 7 7 39 8 7 25 39 8 27 7 7 27 8 26 8 31 7 7 7 39 26 2 8 39 27 0 7 8 8 26 25 3 0 25 39 0 16 3 25 10 25 39 12 25 39 27 39 27 27 0 27 25 2 12 26 39 39 25 12 26 39 27 25 12 39 26 39 25 3 11 25 25 39 0 3 27 0 26 12 39 10 25 27 12 26 27 39 27 27 9 12 0 12 26 27 41 25 12 2 26 23 12 27 27 39 25 26 11 26 39 12 25 27 27 26 25 27 27 41 39 12 0 27 12 3 12 25 27 3 3 35 36 34 20 34 36 34 36 12 12 31 33 33 12 34 20 35 32 33 39 36 35 17 36 36 17 35 31 12 34 20 9 12 31 20 33 31 19 34 34 19 33 32 36 35 35 32 39 35 39 12 32 19 36 39 34 12 34 20 33 31 34 35 20 12 32 36 18 12 31 36 17 34 34 35 20 34 31 32 32 6 34 19 33 36 19 35 36 11 20 18 35 39 19 17 34 12 31 34 20 30 8 8 0 33 12 30 34 7 28 12 30 36 8 3 8 7 30 29 28 12 29 30 30 12 8 35 29 12 7 28 7 32 33 7 31 8 8 0 34 28 8 8 39 30 33 39 8 7 29 7 28 7 28 28 8 8 30 31 36 7 29 7 12 8 28 7 32 28 8 8 7 10 7 7 28 12 7 31 7 41 39 7 8 7 8 8 29 38 32 34 30 28 7 8 33 12 0 11 7 39 12 26 40 12 12 25 20 12 12 33 27 27 28 27 39 25 39 12 39 27 12 12 25 39 12 39 7 12 21 28 31 27 26 39 29 26 25 39 12 39 39 28 32 8 28 27 28 19 12 28 12 26 36 39 12 39 12 25 39 27 32 12 28 12 28 27 25 29 12 12 28 27 12 30 27 27 12 28 28 26 29 33 21 26 25 39 31 12 15 37 23 33 28 12 12 26 29 39 12"
7,2,-0.9444,0.9444,0.0000,-0.2128,0.1684,"25 12 8 7 26 26 25 12 7 8 31 26 25 39 12 7 7 7 32 8 7 7 26 7 39 27 8 32 25 8 27 25 32 26 7 26 25 25 33 26 27 26 7 33 32 25 7 12 31 7 25 8 32 39 27 25 25 33 26 25 26 25 12 8 12 27 27 25 8 7 7 7 39 8 7 25 39 8 27 7 7 27 8 26 8 31 7 7 7 39 26 2 8 39 27 0 7 8 8 26 25 3 0 25 39 0 16 3 25 10 25 39 12 25 39 27 39 27 27 0 27 25 2 12 26 39 39 25 12 26 39 27 25 12 39 26 39 25 3 11 25 25 39 0 3 27 0 26 12 39 10 25 27 12 26 27 39 27 27 9 12 0 12 26 27 41 25 12 2 26 23 12 27 27 39 25 26 11 26 39 12 25 27 27 26 25 27 27 41 39 12 0 27 12 3 12 25 27 3 3 35 36 34 20 34 36 34 36 12 12 31 33 33 12 34 20 35 32 33 39 36 35 17 36 36 17 35 31 12 34 20 9 12 31 20 33 31 19 34 34 19 33 32 36 35 35 32 39 35 39 12 32 19 36 39 34 12 34 20 33 31 34 35 20 12 32 36 18 12 31 36 17 34 34 35 20 34 31 32 32 6 34 19 33 36 19 35 36 11 20 18 35 39 19 17 34 12 31 34 20 30 8 8 0 33 12 30 34 7 28 12 30 36 8 3 8 7 30 29 28 12 29 30 30 12 8 35 29 12 7 28 7 32 33 7 31 8 8 0 34 28 8 8 39 30 33 39 8 7 29 7 28 7 28 28 8 8 30 31 36 7 29 7 12 8 28 7 32 28 8 8 7 10 7 7 28 12 7 31 7 41 39 7 8 7 8 8 29 38 32 34 30 28 7 8 33 12 0 11 7 39 12 26 40 12 12 25 20 12 12 33 27 27 28 27 39 25 39 12 39 27 12 12 25 39 12 39 7 12 21 28 31 27 26 39 29 26 25 39 12 39 39 28 32 8 28 27 28 19 12 28 12 26 36 39 12 39 12 25 39 27 32 12 28 12 28 27 25 29 12 12 28 27 12 30 27 27 12 28 28 26 29 33 21 26 25 39 31 12 15 37 23 33 28 12 12 26 29 39 12"
8,2,-0.9444,0.9444,0.0000,-0.2079,0.1740,"25 12 8 7 26 26 25 12 7 8 31 26 25 39 12 7 7 7 32 8 7 7 26 7 39 27 8 32 25 8 27 25 32 26 7 26 25 25 33 26 27 26 7 33 32 25 7 12 31 7 25 8 32 39 27 25 25 33 26 25 26 25 12 8 12 27 27 25 8 7 7 7 39 8 7 25 39 8 27 7 7 27 8 26 8 31 7 7 7 39 26 2 8 39 27 0 7 8 8 26 25 3 0 25 39 0 16 3 25 10 25 39 12 25 39 27 39 27 27 0 27 25 2 12 26 39 39 25 12 26 39 27 25 12 39 26 39 25 3 11 25 25 39 0 3 27 0 26 12 39 10 25 27 12 26 27 39 27 27 9 12 0 12 26 27 41 25 12 2 26 23 12 27 27 39 25 26 11 26 39 12 25 27 27 26 25 27 27 41 39 12 0 27 12 3 12 25 27 3 3 35 36 34 20 34 36 34 36 12 12 31 33 33 12 34 20 35 32 33 39 36 35 17 36 36 17 35 31 12 34 20 9 12 31 20 33 31 19 34 34 19 33 32 36 35 35 32 39 35 39 12 32 19 36 39 34 12 34 20 33 31 34 35 20 12 32 36 18 12 31 36 17 34 34 35 20 34 31 32 32 6 34 19 33 36 19 35 36 11 20 18 35 39 19 17 34 12 31 34 20 30 8 8 0 33 12 30 34 7 28 12 30 36 8 3 8 7 30 29 28 12 29 30 30 12 8 35 29 12 7 28 7 32 33 7 31 8 8 0 34 28 8 8 39 30 33 39 8 7 29 7 28 7 28 28 8 8 30 31 36 7 29 7 12 8 28 7 32 28 8 8 7 10 7 7 28 12 7 31 7 41 39 7 8 7 8 8 29 38 32 34 30 28 7 8 33 12 0 11 7 39 12 26 40 12 12 25 20 12 12 33 27 27 28 27 39 25 39 12 39 27 12 12 25 39 12 39 7 12 21 28 31 27 26 39 29 26 25 39 12 39 39 28 32 8 28 27 28 19 12 28 12 26 36 39 12 39 12 25 39 27 32 12 28 12 28 27 25 29 12 12 28 27 12 30 27 27 12 28 28 26 29 33 21 26 25 39 31 12 15 37 23 33 28 12 12 26 29 39 12"
9,2,-0.9444,0.9444,0.0000,-0.2115,0.1801,"25 12 8 7 26 26 25 12 7 8 31 26 25 39 12 7 7 7 32 8 7 7 26 7 39 27 8 32 25 8 27 25 32 26 7 26 25 25 33 26 27 26 7 33 32 25 7 12 31 7 25 8 32 39 27 25 25 33 26 25 26 25 12 8 12 27 27 25 8 7 7 7 39 8 7 25 39 8 27 7 7 27 8 26 8 31 7 7 7 39 26 2 8 39 27 0 7 8 8 26 25 3 0 25 39 0 16 3 25 10 25 39 12 25 39 27 39 27 27 0 27 25 2 12 26 39 39 25 12 26 39 27 25 12 39 26 39 25 3 11 25 25 39 0 3 27 0 26 12 39 10 25 27 12 26 27 39 27 27 9 12 0 12 26 27 41 25 12 2 26 23 12 27 27 39 25 26 11 26 39 12 25 27 27 26 25 27 27 41 39 12 0 27 12 3 12 25 27 3 3 35 36 34 20 34 36 34 36 12 12 31 33 33 12 34 20 35 32 33 39 36 35 17 36 36 17 35 31 12 34 20 9 12 31 20 33 31 19 34 34 19 33 32 36 35 35 32 39 35 39 12 32 19 36 39 34 12 34 20 33 31 34 35 20 12 32 36 18 12 31 36 17 34 34 35 20 34 31 32 32 6 34 19 33 36 19 35 36 11 20 18 35 39 19 17 34 12 31 34 20 30 8 8 0 33 12 30 34 7 28 12 30 36 8 3 8 7 30 29 28 12 29 30 30 12 8 35 29 12 7 28 7 32 33 7 31 8 8 0 34 28 8 8 39 30 33 39 8 7 29 7 28 7 28 28 8 8 30 31 36 7 29 7 12 8 28 7 32 28 8 8 7 10 7 7 28 12 7 31 7 41 39 7 8 7 8 8 29 38 32 34 30 28 7 8 33 12 0 11 7 39 12 26 40 12 12 25 20 12 12 33 27 27 28 27 39 25 39 12 39 27 12 12 25 39 12 39 7 12 21 28 31 27 26 39 29 26 25 39 12 39 39 28 32 8 28 27 28 19 12 28 12 26 36 39 12 39 12 25 39 27 32 12 28 12 28 27 25 29 12 12 28 27 12 30 27 27 12 28 28 26 29 33 21 26 25 39 31 12 15 37 23 33 28 12 12 26 29 39 12"
