# seed=1
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.002,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
10,2,-0.6956,0.9574,0.8727,-0.2804,0.1421,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
11,2,-0.6956,0.9574,0.8727,-0.2841,0.1635,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
12,2,-0.6956,0.9574,0.8727,-0.2907,0.1493,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
13,2,-0.6956,0.9574,0.8727,-0.3028,0.0877,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
14,2,-0.6956,0.9574,0.8727,-0.2955,0.0845,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
15,2,-0.6956,0.9574,0.8727,-0.3032,0.1448,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
16,2,-0.6956,0.9574,0.8727,-0.3062,0.0998,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
17,2,-0.6956,0.9574,0.8727,-0.3034,0.0817,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
18,2,-0.6956,0.9574,0.8727,-0.3026,0.1524,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
19,2,-0.6956,0.9574,0.8727,-0.3043,0.1437,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
20,2,-0.6956,0.9574,0.8727,-0.3042,0.1689,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
21,2,-0.6956,0.9574,0.8727,-0.2961,0.1158,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
22,2,-0.6956,0.9574,0.8727,-0.2959,0.1255,"22 31 37 7 13 36 7 7 9 13 34 4 8 21 2 15 7 3 28 14 26 23 17 23 11 5 2 35 29 15 7 7 40 3 24 40 27 25 8 8 33 37 27 30 35 23 16 28 5 36 26 31 2 31 28 1 30 8 34 13 26 40 29 35 1 2 2 7 9 10 30 5 7 16 36 42 7 17 15 25 12 38 8 38 19 7 29 8 19 9 30 8 39 8 36 39 3 3 9 41 18 34 4 7 13 34 22 19 19 8 42 14 27 8 41 8 8 7 13 29 8 12 11 18 8 7 29 8 26 7 7 8 2 23 7 8 8 13 8 2 28 2 8 8 9 5 19 10 31 5 1 22 26 30 37 1 40 12 8 14 7 40 2 1 19 15 24 5 21 35 8 0 24 22 7 7 27 7 30 41 18 11 22 30 9 20 8 19 41 8 24 40 34 7 7 10 37 11 28 39 0 37 37 40 33 12 34 15 0 5 23 13 31 8 37 23 8 1 11 7 17 19 10 42 4 9 21 8 39 18 33 19 35 7 32 39 27 34 41 40 1 40 32 20 20 7 8 3 17 30 36 4 14 11 23 41 0 33 34 34 13 8 36 33 40 26 8 2 19 7 7 3 11 15 37 23 28 28 23 22 22 24 11 1 41 24 39 22 7 4 8 16 11 27 7 11 28 21 7 7 37 12 2 5 28 5 33 26 3 9 19 10 4 8 31 34 10 32 27 2 24 19 8 27 8 7 13 24 31 32 31 19 11 42 5 29 21 31 10 4 7 42 21 42 3 29 23 17 29 27 40 36 20 2 21 42 17 12 32 34 16 25 17 5 25 28 31 27 40 10 16 7 0 24 22 17 11 38 2 20 40 29 40 36 39 0 31 41 10 12 28 13 10 21 10 0 17 26 0 28 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 21 28 30 32 32 7 23 18 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 13 1 37 24 26 28 37 32 36 33 10 11 37 8 29 30 35 32 14 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
