# seed=25
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5971,0.8750,0.9262,-0.1328,0.2801,"39 12 12 32 19 11 26 9 15 4 6 2 16 38 41 1 11 30 29 15 32 17 14 13 35 41 42 38 26 39 16 33 21 6 26 24 38 17 30 36 24 32 24 29 17 38 32 24 37 30 6 41 28 16 28 42 20 12 29 2 12 25 34 22 40 23 20 37 18 9 6 1 39 3 6 30 39 9 40 3 28 4 16 28 35 5 25 13 3 6 15 8 2 15 2 16 35 19 17 16 21 15 16 29 40 9 41 18 21 27 37 22 24 0 9 0 22 15 23 41 5 39 35 29 15 15 27 11 26 27 2 22 21 17 24 33 27 0 12 2 26 27 22 42 42 27 18 13 8 23 7 8 19 30 26 19 38 3 16 29 24 36 8 5 3 41 35 27 28 34 11 13 21 24 25 24 33 40 32 42 32 0 42 39 22 42 20 6 33 0 15 5 42 18 9 20 2 31 34 11 15 29 24 27 41 35 31 15 17 39 11 35 28 17 6 37 6 26 9 37 16 9 11 10 10 5 5 7 41 12 39 22 8 9 30 23 40 12 23 34 4 19 13 1 25 37 2 4 29 30 16 0 20 5 29 29 30 28 20 42 26 2 41 26 33 33 16 36 33 25 6 30 5 24 41 21 35 30 30 38 36 20 11 21 11 14 28 39 30 2 23 1 23 26 32 25 18 31 33 25 2 7 41 1 35 5 42 19 8 35 10 1 27 20 24 13 38 30 2 20 2 11 34 35 26 14 6 21 27 4 26 9 28 23 26 10 32 21 36 41 39 24 24 4 14 14 17 39 27 31 22 12 30 34 4 33 40 40 35 31 38 4 16 39 4 15 31 23 18 23 16 35 20 18 11 6 38 34 21 0 10 14 5 2 19 28 27 24 5 20 11 40 39 23 34 5 20 39 22 38 8 30 38 29 13 17 40 8 33 41 25 27 24 35 9 0 15 24 12 32 27 40 8 26 23 31 10 9 16 5 4 27 21 3 9 13 5 24 1 33 23 31 4 20 19 21 31 8 33 24 27 11 28 6 31 39 40 7 22 4 32 13 26 3 18 7 31 34 10 34 42 11 6 13 22 8 20 12 6 14 29 27 19 42 0 14 6 18 22 15 36 23 15 26 11 31 20 4 3 9"
1,2,-0.7070,0.9286,0.7385,-0.4174,-0.2096,"12 1 0 13 25 25 38 1 25 25 25 39 27 13 39 25 13 27 38 39 25 25 25 39 0 23 25 38 38 27 13 12 25 24 0 25 12 25 25 25 0 23 25 25 25 26 26 23 25 25 26 24 25 0 25 26 12 39 23 1 3 25 1 1 25 26 13 33 25 39 21 26 3 25 13 25 12 1 25 12 3 39 32 38 14 13 27 13 38 13 25 39 1 23 25 25 25 24 38 25 9 11 2 2 2 2 6 11 10 9 10 2 4 2 2 2 40 6 13 6 2 2 5 9 2 19 9 2 2 2 2 38 2 4 30 31 2 9 2 2 2 2 29 11 3 11 20 38 2 36 2 9 4 2 2 2 2 2 37 29 6 37 10 2 2 11 6 9 2 2 9 2 32 6 2 40 5 2 6 6 2 10 9 2 4 9 6 4 2 9 9 2 2 9 2 40 2 5 10 4 37 21 6 37 2 2 30 2 2 2 2 4 4 2 21 12 2 2 37 34 5 22 2 22 2 17 2 2 34 5 5 2 35 2 2 2 37 2 0 2 2 2 2 2 3 2 2 2 21 22 2 34 6 2 34 37 2 34 34 36 2 22 34 21 36 2 5 21 2 37 12 35 2 21 37 21 2 34 2 2 34 2 35 34 2 34 35 4 35 34 23 34 34 0 4 34 6 4 2 31 12 12 12 34 35 5 12 12 6 12 28 12 12 12 34 18 12 12 34 25 17 13 12 12 12 12 12 3 35 34 5 12 12 4 15 12 35 12 4 12 35 12 12 32 2 36 12 34 36 6 12 36 12 12 21 12 36 12 34 2 38 12 34 14 18 12 34 36 34 12 12 36 12 12 28 34 12 36 12 12 35 12 36 12 12 6 5 34 12 35 12 34 12 12 34 12 35 12 37 12 12 12 25 12 12 12 12 12 12 26 12 27 26 34 34 35 19 12 34 27 34 12 12 12 12 34 12 12 17 12 25 36 18 19 19 12 12 12 26 34 27 12 34 25 26 12 35 34 12 12 27 27 12 25 35 27 27 25 12 36 26 12 12 12 12 12 12 25 27 12 27 34 26 12 12 25 12 12 34 34 34 12 12 12 12 12 19 34 34 12 19 36 12 19 12 26 12 19 12 34"
2,3,-0.7598,0.9000,0.4674,-0.4645,-0.2767,"21 3 0 3 25 25 0 0 16 27 25 26 25 25 0 12 25 3 26 12 0 0 0 2 26 38 3 26 0 3 12 3 12 26 0 2 25 27 0 3 3 25 0 0 3 37 3 25 13 26 3 0 3 25 6 3 25 25 0 0 0 0 26 22 6 3 25 0 13 25 3 26 42 25 16 25 25 26 25 6 38 25 0 25 5 25 25 12 0 25 0 0 25 41 3 38 0 0 3 3 17 17 18 42 6 17 17 4 17 0 17 42 3 37 17 41 0 42 28 2 6 17 42 17 17 37 18 42 3 17 42 17 17 17 4 17 42 42 0 17 42 17 17 42 0 2 3 17 17 37 17 8 17 17 5 18 17 42 17 42 42 2 2 18 17 5 42 7 0 2 7 7 18 17 42 17 17 18 13 18 2 3 18 6 42 42 17 18 18 18 18 18 18 0 17 17 42 17 17 17 21 13 3 21 3 1 13 12 3 5 2 2 2 21 8 3 38 0 1 16 3 13 2 3 21 13 22 5 21 38 0 5 4 9 2 38 2 13 0 16 11 3 0 13 2 1 38 11 22 2 0 21 5 0 21 16 2 37 21 37 13 4 11 0 21 21 21 3 5 22 38 22 13 0 9 38 16 5 13 13 2 13 12 1 2 21 21 22 21 6 0 1 1 10 1 21 38 21 21 1 7 8 34 31 7 34 8 25 8 7 25 8 8 38 25 25 7 8 26 27 8 25 25 8 7 3 38 8 1 7 26 3 25 7 26 26 7 3 32 8 13 8 8 7 7 7 8 25 8 7 7 7 3 25 25 25 7 7 7 7 25 3 36 7 7 7 7 7 38 7 8 7 41 7 7 25 7 27 8 8 8 25 7 34 7 8 7 0 25 25 25 25 7 25 25 8 7 3 7 7 40 21 40 2 21 37 42 42 42 40 2 2 2 42 2 40 2 42 4 40 2 2 2 21 4 42 6 2 42 28 2 6 37 2 16 6 2 4 2 2 37 4 37 2 5 2 37 2 2 42 21 2 40 2 37 2 2 42 2 5 2 6 42 2 4 42 22 37 42 37 42 42 6 37 42 5 42 2 40 5 2 2 40 40 2 42 5 2 40 2 2 5 2 42 42 5 42 42 42 2"
3,3,-0.7491,0.9615,0.7080,-0.4538,-0.2510,"21 3 0 3 25 25 0 0 16 27 25 26 25 25 0 12 25 3 26 12 0 0 0 2 26 38 3 26 0 3 12 3 12 26 0 2 25 27 0 3 3 25 0 0 3 37 3 25 13 26 3 0 3 25 6 3 25 25 0 0 0 0 26 22 6 3 25 0 13 25 3 26 42 25 16 25 25 26 25 6 38 25 0 25 5 25 25 12 0 25 0 0 25 41 3 38 0 0 3 3 17 17 18 42 6 17 17 4 17 0 17 42 3 37 17 41 0 42 28 2 6 17 42 17 17 37 18 42 3 17 42 17 17 17 4 17 42 42 0 17 42 17 17 42 0 2 3 17 17 37 17 8 17 17 5 18 17 42 17 42 42 2 2 18 17 5 42 7 0 2 7 7 18 17 42 17 17 18 13 18 2 3 18 6 42 42 17 18 18 18 18 18 18 0 17 17 42 17 17 17 21 13 3 21 3 1 13 12 3 5 2 2 2 21 8 3 38 0 1 16 3 13 2 3 21 13 22 5 21 38 0 5 4 9 2 38 2 13 0 16 11 3 0 13 2 1 38 11 22 2 0 21 5 0 21 16 2 37 21 37 13 4 11 0 21 21 21 3 5 22 38 22 13 0 9 38 16 5 13 13 2 13 12 1 2 21 21 22 21 6 0 1 1 10 1 21 38 21 21 1 7 8 34 31 7 34 8 25 8 7 25 8 8 38 25 25 7 8 26 27 8 25 25 8 7 3 38 8 1 7 26 3 25 7 26 26 7 3 32 8 13 8 8 7 7 7 8 25 8 7 7 7 3 25 25 25 7 7 7 7 25 3 36 7 7 7 7 7 38 7 8 7 41 7 7 25 7 27 8 8 8 25 7 34 7 8 7 0 25 25 25 25 7 25 25 8 7 3 7 7 40 21 40 2 21 37 42 42 42 40 2 2 2 42 2 40 2 42 4 40 2 2 2 21 4 42 6 2 42 28 2 6 37 2 16 6 2 4 2 2 37 4 37 2 5 2 37 2 2 42 21 2 40 2 37 2 2 42 2 5 2 6 42 2 4 42 22 37 42 37 42 42 6 37 42 5 42 2 40 5 2 2 40 40 2 42 5 2 40 2 2 5 2 42 42 5 42 42 42 2"
4,4,-0.7985,1.0000,0.6716,-0.4576,-0.2760,"31 2 29 2 31 31 6 19 4 14 37 5 31 6 2 31 2 31 4 2 2 2 31 31 2 19 2 5 2 5 2 5 2 31 19 5 2 5 4 2 4 2 37 4 2 6 4 37 32 5 2 32 2 32 23 2 4 19 31 4 6 2 5 2 2 6 31 2 14 2 33 6 2 2 2 31 31 37 2 4 6 4 5 2 4 17 31 5 23 5 4 4 32 2 31 31 2 2 2 5 27 25 25 25 27 27 39 26 25 25 27 25 25 25 39 25 25 25 25 25 25 25 25 25 25 41 26 25 25 25 25 26 0 25 39 25 25 25 27 26 39 25 25 27 25 25 27 25 39 25 27 39 25 25 25 25 25 26 25 39 26 25 25 25 25 39 25 25 39 39 39 27 27 25 26 39 25 27 25 25 25 25 25 25 25 26 25 26 39 25 27 25 26 12 25 12 25 27 25 25 38 18 13 17 18 17 4 17 17 2 17 12 17 12 38 17 18 12 34 1 13 18 17 17 17 38 17 35 17 17 13 17 17 13 17 35 34 3 12 17 17 17 12 0 17 12 34 3 17 17 17 18 12 13 0 0 1 1 1 37 0 0 18 13 35 3 12 13 3 17 17 12 2 17 17 12 34 35 17 18 17 38 3 18 1 17 12 12 17 1 36 17 4 17 17 17 1 0 38 0 35 35 35 34 34 34 36 36 34 34 34 34 34 34 34 34 35 36 34 35 34 35 14 5 12 2 12 34 19 34 4 36 12 12 19 34 2 34 34 34 12 34 34 19 2 34 34 12 34 36 2 34 19 35 19 12 5 20 12 34 12 32 12 12 34 34 34 36 12 34 35 19 34 2 12 2 12 2 2 34 2 36 12 12 35 19 34 34 36 34 34 20 34 35 34 34 34 34 2 35 24 31 12 28 12 31 12 12 12 12 32 12 23 24 23 24 9 31 12 12 23 31 23 23 28 12 31 5 12 12 12 31 31 12 23 40 12 2 40 12 31 42 12 12 12 12 12 29 23 12 12 32 24 28 24 40 24 12 24 24 30 31 12 24 12 23 12 12 23 12 23 12 32 12 23 12 12 12 12 31 24 12 12 40 12 6 31 4 12 40 28 40 33 23 23 23 31 12 24 12"
5,4,-0.7940,0.9200,0.4199,-0.4586,-0.2985,"31 2 29 2 31 31 6 19 4 14 37 5 31 6 2 31 2 31 4 2 2 2 31 31 2 19 2 5 2 5 2 5 2 31 19 5 2 5 4 2 4 2 37 4 2 6 4 37 32 5 2 32 2 32 23 2 4 19 31 4 6 2 5 2 2 6 31 2 14 2 33 6 2 2 2 31 31 37 2 4 6 4 5 2 4 17 31 5 23 5 4 4 32 2 31 31 2 2 2 5 27 25 25 25 27 27 39 26 25 25 27 25 25 25 39 25 25 25 25 25 25 25 25 25 25 41 26 25 25 25 25 26 0 25 39 25 25 25 27 26 39 25 25 27 25 25 27 25 39 25 27 39 25 25 25 25 25 26 25 39 26 25 25 25 25 39 25 25 39 39 39 27 27 25 26 39 25 27 25 25 25 25 25 25 25 26 25 26 39 25 27 25 26 12 25 12 25 27 25 25 38 18 13 17 18 17 4 17 17 2 17 12 17 12 38 17 18 12 34 1 13 18 17 17 17 38 17 35 17 17 13 17 17 13 17 35 34 3 12 17 17 17 12 0 17 12 34 3 17 17 17 18 12 13 0 0 1 1 1 37 0 0 18 13 35 3 12 13 3 17 17 12 2 17 17 12 34 35 17 18 17 38 3 18 1 17 12 12 17 1 36 17 4 17 17 17 1 0 38 0 35 35 35 34 34 34 36 36 34 34 34 34 34 34 34 34 35 36 34 35 34 35 14 5 12 2 12 34 19 34 4 36 12 12 19 34 2 34 34 34 12 34 34 19 2 34 34 12 34 36 2 34 19 35 19 12 5 20 12 34 12 32 12 12 34 34 34 36 12 34 35 19 34 2 12 2 12 2 2 34 2 36 12 12 35 19 34 34 36 34 34 20 34 35 34 34 34 34 2 35 24 31 12 28 12 31 12 12 12 12 32 12 23 24 23 24 9 31 12 12 23 31 23 23 28 12 31 5 12 12 12 31 31 12 23 40 12 2 40 12 31 42 12 12 12 12 12 29 23 12 12 32 24 28 24 40 24 12 24 24 30 31 12 24 12 23 12 12 23 12 23 12 32 12 23 12 12 12 12 31 24 12 12 40 12 6 31 4 12 40 28 40 33 23 23 23 31 12 24 12"
6,4,-0.7926,1.0000,0.6913,-0.4693,-0.2675,"31 2 29 2 31 31 6 19 4 14 37 5 31 6 2 31 2 31 4 2 2 2 31 31 2 19 2 5 2 5 2 5 2 31 19 5 2 5 4 2 4 2 37 4 2 6 4 37 32 5 2 32 2 32 23 2 4 19 31 4 6 2 5 2 2 6 31 2 14 2 33 6 2 2 2 31 31 37 2 4 6 4 5 2 4 17 31 5 23 5 4 4 32 2 31 31 2 2 2 5 27 25 25 25 27 27 39 26 25 25 27 25 25 25 39 25 25 25 25 25 25 25 25 25 25 41 26 25 25 25 25 26 0 25 39 25 25 25 27 26 39 25 25 27 25 25 27 25 39 25 27 39 25 25 25 25 25 26 25 39 26 25 25 25 25 39 25 25 39 39 39 27 27 25 26 39 25 27 25 25 25 25 25 25 25 26 25 26 39 25 27 25 26 12 25 12 25 27 25 25 38 18 13 17 18 17 4 17 17 2 17 12 17 12 38 17 18 12 34 1 13 18 17 17 17 38 17 35 17 17 13 17 17 13 17 35 34 3 12 17 17 17 12 0 17 12 34 3 17 17 17 18 12 13 0 0 1 1 1 37 0 0 18 13 35 3 12 13 3 17 17 12 2 17 17 12 34 35 17 18 17 38 3 18 1 17 12 12 17 1 36 17 4 17 17 17 1 0 38 0 35 35 35 34 34 34 36 36 34 34 34 34 34 34 34 34 35 36 34 35 34 35 14 5 12 2 12 34 19 34 4 36 12 12 19 34 2 34 34 34 12 34 34 19 2 34 34 12 34 36 2 34 19 35 19 12 5 20 12 34 12 32 12 12 34 34 34 36 12 34 35 19 34 2 12 2 12 2 2 34 2 36 12 12 35 19 34 34 36 34 34 20 34 35 34 34 34 34 2 35 24 31 12 28 12 31 12 12 12 12 32 12 23 24 23 24 9 31 12 12 23 31 23 23 28 12 31 5 12 12 12 31 31 12 23 40 12 2 40 12 31 42 12 12 12 12 12 29 23 12 12 32 24 28 24 40 24 12 24 24 30 31 12 24 12 23 12 12 23 12 23 12 32 12 23 12 12 12 12 31 24 12 12 40 12 6 31 4 12 40 28 40 33 23 23 23 31 12 24 12"
7,4,-0.7894,1.0000,0.7020,-0.4853,-0.2711,"31 2 29 2 31 31 6 19 4 14 37 5 31 6 2 31 2 31 4 2 2 2 31 31 2 19 2 5 2 5 2 5 2 31 19 5 2 5 4 2 4 2 37 4 2 6 4 37 32 5 2 32 2 32 23 2 4 19 31 4 6 2 5 2 2 6 31 2 14 2 33 6 2 2 2 31 31 37 2 4 6 4 5 2 4 17 31 5 23 5 4 4 32 2 31 31 2 2 2 5 27 25 25 25 27 27 39 26 25 25 27 25 25 25 39 25 25 25 25 25 25 25 25 25 25 41 26 25 25 25 25 26 0 25 39 25 25 25 27 26 39 25 25 27 25 25 27 25 39 25 27 39 25 25 25 25 25 26 25 39 26 25 25 25 25 39 25 25 39 39 39 27 27 25 26 39 25 27 25 25 25 25 25 25 25 26 25 26 39 25 27 25 26 12 25 12 25 27 25 25 38 18 13 17 18 17 4 17 17 2 17 12 17 12 38 17 18 12 34 1 13 18 17 17 17 38 17 35 17 17 13 17 17 13 17 35 34 3 12 17 17 17 12 0 17 12 34 3 17 17 17 18 12 13 0 0 1 1 1 37 0 0 18 13 35 3 12 13 3 17 17 12 2 17 17 12 34 35 17 18 17 38 3 18 1 17 12 12 17 1 36 17 4 17 17 17 1 0 38 0 35 35 35 34 34 34 36 36 34 34 34 34 34 34 34 34 35 36 34 35 34 35 14 5 12 2 12 34 19 34 4 36 12 12 19 34 2 34 34 34 12 34 34 19 2 34 34 12 34 36 2 34 19 35 19 12 5 20 12 34 12 32 12 12 34 34 34 36 12 34 35 19 34 2 12 2 12 2 2 34 2 36 12 12 35 19 34 34 36 34 34 20 34 35 34 34 34 34 2 35 24 31 12 28 12 31 12 12 12 12 32 12 23 24 23 24 9 31 12 12 23 31 23 23 28 12 31 5 12 12 12 31 31 12 23 40 12 2 40 12 31 42 12 12 12 12 12 29 23 12 12 32 24 28 24 40 24 12 24 24 30 31 12 24 12 23 12 12 23 12 23 12 32 12 23 12 12 12 12 31 24 12 12 40 12 6 31 4 12 40 28 40 33 23 23 23 31 12 24 12"
8,4,-0.7895,1.0000,0.7016,-0.4832,-0.2181,"31 2 29 2 31 31 6 19 4 14 37 5 31 6 2 31 2 31 4 2 2 2 31 31 2 19 2 5 2 5 2 5 2 31 19 5 2 5 4 2 4 2 37 4 2 6 4 37 32 5 2 32 2 32 23 2 4 19 31 4 6 2 5 2 2 6 31 2 14 2 33 6 2 2 2 31 31 37 2 4 6 4 5 2 4 17 31 5 23 5 4 4 32 2 31 31 2 2 2 5 27 25 25 25 27 27 39 26 25 25 27 25 25 25 39 25 25 25 25 25 25 25 25 25 25 41 26 25 25 25 25 26 0 25 39 25 25 25 27 26 39 25 25 27 25 25 27 25 39 25 27 39 25 25 25 25 25 26 25 39 26 25 25 25 25 39 25 25 39 39 39 27 27 25 26 39 25 27 25 25 25 25 25 25 25 26 25 26 39 25 27 25 26 12 25 12 25 27 25 25 38 18 13 17 18 17 4 17 17 2 17 12 17 12 38 17 18 12 34 1 13 18 17 17 17 38 17 35 17 17 13 17 17 13 17 35 34 3 12 17 17 17 12 0 17 12 34 3 17 17 17 18 12 13 0 0 1 1 1 37 0 0 18 13 35 3 12 13 3 17 17 12 2 17 17 12 34 35 17 18 17 38 3 18 1 17 12 12 17 1 36 17 4 17 17 17 1 0 38 0 35 35 35 34 34 34 36 36 34 34 34 34 34 34 34 34 35 36 34 35 34 35 14 5 12 2 12 34 19 34 4 36 12 12 19 34 2 34 34 34 12 34 34 19 2 34 34 12 34 36 2 34 19 35 19 12 5 20 12 34 12 32 12 12 34 34 34 36 12 34 35 19 34 2 12 2 12 2 2 34 2 36 12 12 35 19 34 34 36 34 34 20 34 35 34 34 34 34 2 35 24 31 12 28 12 31 12 12 12 12 32 12 23 24 23 24 9 31 12 12 23 31 23 23 28 12 31 5 12 12 12 31 31 12 23 40 12 2 40 12 31 42 12 12 12 12 12 29 23 12 12 32 24 28 24 40 24 12 24 24 30 31 12 24 12 23 12 12 23 12 23 12 32 12 23 12 12 12 12 31 24 12 12 40 12 6 31 4 12 40 28 40 33 23 23 23 31 12 24 12"
9,4,-0.7525,0.8889,0.4547,-0.4826,-0.2957,"31 2 29 2 31 31 6 19 4 14 37 5 31 6 2 31 2 31 4 2 2 2 31 31 2 19 2 5 2 5 2 5 2 31 19 5 2 5 4 2 4 2 37 4 2 6 4 37 32 5 2 32 2 32 23 2 4 19 31 4 6 2 5 2 2 6 31 2 14 2 33 6 2 2 2 31 31 37 2 4 6 4 5 2 4 17 31 5 23 5 4 4 32 2 31 31 2 2 2 5 27 25 25 25 27 27 39 26 25 25 27 25 25 25 39 25 25 25 25 25 25 25 25 25 25 41 26 25 25 25 25 26 0 25 39 25 25 25 27 26 39 25 25 27 25 25 27 25 39 25 27 39 25 25 25 25 25 26 25 39 26 25 25 25 25 39 25 25 39 39 39 27 27 25 26 39 25 27 25 25 25 25 25 25 25 26 25 26 39 25 27 25 26 12 25 12 25 27 25 25 38 18 13 17 18 17 4 17 17 2 17 12 17 12 38 17 18 12 34 1 13 18 17 17 17 38 17 35 17 17 13 17 17 13 17 35 34 3 12 17 17 17 12 0 17 12 34 3 17 17 17 18 12 13 0 0 1 1 1 37 0 0 18 13 35 3 12 13 3 17 17 12 2 17 17 12 34 35 17 18 17 38 3 18 1 17 12 12 17 1 36 17 4 17 17 17 1 0 38 0 35 35 35 34 34 34 36 36 34 34 34 34 34 34 34 34 35 36 34 35 34 35 14 5 12 2 12 34 19 34 4 36 12 12 19 34 2 34 34 34 12 34 34 19 2 34 34 12 34 36 2 34 19 35 19 12 5 20 12 34 12 32 12 12 34 34 34 36 12 34 35 19 34 2 12 2 12 2 2 34 2 36 12 12 35 19 34 34 36 34 34 20 34 35 34 34 34 34 2 35 24 31 12 28 12 31 12 12 12 12 32 12 23 24 23 24 9 31 12 12 23 31 23 23 28 12 31 5 12 12 12 31 31 12 23 40 12 2 40 12 31 42 12 12 12 12 12 29 23 12 12 32 24 28 24 40 24 12 24 24 30 31 12 24 12 23 12 12 23 12 23 12 32 12 23 12 12 12 12 31 24 12 12 40 12 6 31 4 12 40 28 40 33 23 23 23 31 12 24 12"
