# seed=28
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5725,0.8462,0.9121,-0.1598,0.2310,"37 40 24 14 12 3 1 39 33 3 4 11 7 3 0 23 21 35 4 28 10 4 18 29 29 41 19 29 4 23 31 27 12 2 5 16 10 26 32 19 5 14 10 17 15 9 22 13 18 11 8 33 16 25 18 1 38 32 27 26 31 1 2 5 28 33 8 36 37 27 42 15 8 42 19 14 25 0 1 25 39 21 40 39 20 13 11 9 12 2 2 18 14 33 20 25 35 6 19 36 15 18 20 27 19 12 41 41 35 42 39 29 2 16 28 23 2 23 10 36 28 22 20 10 39 16 23 31 40 26 14 40 17 23 22 1 36 31 33 15 33 18 11 10 41 12 16 32 36 32 21 13 38 1 42 36 16 9 42 16 12 18 7 37 29 9 41 16 17 27 36 1 32 1 30 3 1 22 21 40 33 18 33 37 16 18 1 8 23 20 13 0 1 33 7 36 38 1 26 41 28 14 20 33 33 37 31 32 32 36 30 35 37 38 36 42 5 24 20 22 25 3 42 16 27 24 18 18 16 14 0 26 13 7 35 11 6 5 7 3 23 23 33 9 2 10 32 35 33 23 16 15 1 4 9 0 4 38 40 27 6 4 35 0 20 35 34 5 1 29 41 36 37 17 15 2 36 39 14 42 3 13 10 15 10 36 11 33 5 28 13 27 29 17 15 12 28 29 33 33 3 28 5 15 32 1 40 13 15 0 24 37 3 10 3 25 18 15 8 31 16 1 37 8 29 11 14 42 39 41 13 8 24 14 1 27 15 38 6 32 37 40 16 42 0 21 20 26 19 15 19 16 14 33 31 11 39 2 21 34 6 35 15 30 1 13 27 38 11 39 42 4 11 3 6 1 0 35 6 7 9 18 4 22 14 18 14 13 22 32 6 3 41 38 37 42 5 6 25 20 10 9 5 37 38 6 16 7 39 41 24 29 21 26 9 13 9 4 37 26 35 38 5 3 17 2 13 38 19 12 35 7 32 18 29 17 38 2 35 32 33 8 24 23 1 8 22 20 2 35 35 41 6 20 35 20 19 33 12 7 18 4 27 42 21 26 33 40 35 41 22 13 38 31 16 25 7 1 18 27 14 2 27 14 2 29 42 35 14 0 1 25 33 26 27 35 35 1 6 36"
1,2,-0.8088,1.0000,0.6374,-0.4291,-0.2440,"9 2 9 31 9 3 31 2 2 2 0 2 32 3 5 3 31 31 0 3 31 31 3 6 33 3 31 2 31 32 0 9 29 3 0 6 0 0 31 0 31 0 31 31 3 31 32 31 31 3 0 5 31 31 33 3 4 3 31 31 33 0 0 0 31 3 3 2 4 5 3 2 26 10 3 3 33 4 0 33 3 3 5 3 31 31 3 5 31 41 0 31 3 0 32 2 31 32 2 2 5 40 34 39 39 22 34 39 39 36 40 39 21 6 39 2 39 36 6 40 40 40 21 36 39 40 39 34 39 39 36 39 35 34 22 39 39 39 34 39 40 39 39 39 39 40 39 37 40 40 12 39 40 12 26 34 39 2 21 40 35 34 40 5 34 39 39 40 6 40 36 34 34 40 39 20 5 39 34 39 39 16 40 36 40 34 37 40 40 36 40 12 34 39 40 39 2 39 4 39 17 28 27 19 14 3 25 39 12 28 12 12 23 28 20 12 7 12 12 22 30 4 12 7 7 7 12 19 12 20 19 12 28 12 30 12 19 12 12 29 12 20 20 28 19 28 12 7 7 19 12 20 12 12 12 12 28 20 19 28 20 12 12 19 12 20 12 1 20 12 8 7 12 12 7 30 7 12 12 12 12 29 7 30 20 12 19 12 20 12 20 12 20 19 12 19 28 19 12 12 25 12 31 32 31 26 34 11 31 25 26 31 25 12 25 31 23 27 25 25 25 25 26 25 25 25 31 25 12 27 26 26 26 3 33 12 25 25 25 25 27 31 25 25 11 27 9 31 26 25 25 32 25 31 25 26 32 25 31 33 25 25 25 25 25 25 31 25 9 26 25 25 25 31 26 26 25 31 12 32 33 25 25 25 26 31 12 12 25 12 25 25 26 25 25 31 25 26 25 31 1 41 25 25 27 41 35 35 25 41 25 27 34 25 27 34 25 41 41 0 34 25 41 25 17 41 40 13 25 34 38 25 25 25 11 25 25 25 27 41 9 41 26 25 25 25 35 41 34 27 25 25 27 0 27 25 41 25 41 25 27 25 25 25 26 25 34 25 25 6 26 25 41 41 25 10 25 25 34 41 26 41 25 25 25 26 25 25 9 26 26 41 11 25 25 27 25 41 25 27"
2,2,-0.7745,0.9565,0.6068,-0.4861,-0.2364,"9 2 9 31 9 3 31 2 2 2 0 2 32 3 5 3 31 31 0 3 31 31 3 6 33 3 31 2 31 32 0 9 29 3 0 6 0 0 31 0 31 0 31 31 3 31 32 31 31 3 0 5 31 31 33 3 4 3 31 31 33 0 0 0 31 3 3 2 4 5 3 2 26 10 3 3 33 4 0 33 3 3 5 3 31 31 3 5 31 41 0 31 3 0 32 2 31 32 2 2 5 40 34 39 39 22 34 39 39 36 40 39 21 6 39 2 39 36 6 40 40 40 21 36 39 40 39 34 39 39 36 39 35 34 22 39 39 39 34 39 40 39 39 39 39 40 39 37 40 40 12 39 40 12 26 34 39 2 21 40 35 34 40 5 34 39 39 40 6 40 36 34 34 40 39 20 5 39 34 39 39 16 40 36 40 34 37 40 40 36 40 12 34 39 40 39 2 39 4 39 17 28 27 19 14 3 25 39 12 28 12 12 23 28 20 12 7 12 12 22 30 4 12 7 7 7 12 19 12 20 19 12 28 12 30 12 19 12 12 29 12 20 20 28 19 28 12 7 7 19 12 20 12 12 12 12 28 20 19 28 20 12 12 19 12 20 12 1 20 12 8 7 12 12 7 30 7 12 12 12 12 29 7 30 20 12 19 12 20 12 20 12 20 19 12 19 28 19 12 12 25 12 31 32 31 26 34 11 31 25 26 31 25 12 25 31 23 27 25 25 25 25 26 25 25 25 31 25 12 27 26 26 26 3 33 12 25 25 25 25 27 31 25 25 11 27 9 31 26 25 25 32 25 31 25 26 32 25 31 33 25 25 25 25 25 25 31 25 9 26 25 25 25 31 26 26 25 31 12 32 33 25 25 25 26 31 12 12 25 12 25 25 26 25 25 31 25 26 25 31 1 41 25 25 27 41 35 35 25 41 25 27 34 25 27 34 25 41 41 0 34 25 41 25 17 41 40 13 25 34 38 25 25 25 11 25 25 25 27 41 9 41 26 25 25 25 35 41 34 27 25 25 27 0 27 25 41 25 41 25 27 25 25 25 26 25 34 25 25 6 26 25 41 41 25 10 25 25 34 41 26 41 25 25 25 26 25 25 9 26 26 41 11 25 25 27 25 41 25 27"
3,2,-0.7943,1.0000,0.6855,-0.4988,-0.2303,"9 2 9 31 9 3 31 2 2 2 0 2 32 3 5 3 31 31 0 3 31 31 3 6 33 3 31 2 31 32 0 9 29 3 0 6 0 0 31 0 31 0 31 31 3 31 32 31 31 3 0 5 31 31 33 3 4 3 31 31 33 0 0 0 31 3 3 2 4 5 3 2 26 10 3 3 33 4 0 33 3 3 5 3 31 31 3 5 31 41 0 31 3 0 32 2 31 32 2 2 5 40 34 39 39 22 34 39 39 36 40 39 21 6 39 2 39 36 6 40 40 40 21 36 39 40 39 34 39 39 36 39 35 34 22 39 39 39 34 39 40 39 39 39 39 40 39 37 40 40 12 39 40 12 26 34 39 2 21 40 35 34 40 5 34 39 39 40 6 40 36 34 34 40 39 20 5 39 34 39 39 16 40 36 40 34 37 40 40 36 40 12 34 39 40 39 2 39 4 39 17 28 27 19 14 3 25 39 12 28 12 12 23 28 20 12 7 12 12 22 30 4 12 7 7 7 12 19 12 20 19 12 28 12 30 12 19 12 12 29 12 20 20 28 19 28 12 7 7 19 12 20 12 12 12 12 28 20 19 28 20 12 12 19 12 20 12 1 20 12 8 7 12 12 7 30 7 12 12 12 12 29 7 30 20 12 19 12 20 12 20 12 20 19 12 19 28 19 12 12 25 12 31 32 31 26 34 11 31 25 26 31 25 12 25 31 23 27 25 25 25 25 26 25 25 25 31 25 12 27 26 26 26 3 33 12 25 25 25 25 27 31 25 25 11 27 9 31 26 25 25 32 25 31 25 26 32 25 31 33 25 25 25 25 25 25 31 25 9 26 25 25 25 31 26 26 25 31 12 32 33 25 25 25 26 31 12 12 25 12 25 25 26 25 25 31 25 26 25 31 1 41 25 25 27 41 35 35 25 41 25 27 34 25 27 34 25 41 41 0 34 25 41 25 17 41 40 13 25 34 38 25 25 25 11 25 25 25 27 41 9 41 26 25 25 25 35 41 34 27 25 25 27 0 27 25 41 25 41 25 27 25 25 25 26 25 34 25 25 6 26 25 41 41 25 10 25 25 34 41 26 41 25 25 25 26 25 25 9 26 26 41 11 25 25 27 25 41 25 27"
4,3,-0.8319,1.0000,0.5605,-0.5207,-0.2789,"23 6 23 7 23 6 23 7 2 2 8 23 2 2 2 23 2 24 5 2 35 7 23 2 2 5 23 2 2 2 2 2 23 24 5 24 5 2 6 2 2 2 23 7 23 2 37 2 2 2 23 7 37 4 2 23 23 24 7 2 7 5 2 2 4 4 2 37 23 2 23 6 2 42 12 24 4 5 8 23 2 7 23 2 24 2 7 2 23 23 2 2 2 7 2 37 23 37 24 23 28 6 2 4 37 28 2 5 28 2 2 29 2 2 2 29 4 2 2 28 2 29 34 9 2 5 37 28 30 30 36 28 5 26 2 2 2 9 2 2 6 2 30 2 28 2 2 30 2 2 2 2 2 28 2 5 2 2 2 37 11 37 2 5 28 2 2 2 37 30 37 9 2 5 2 4 2 4 2 30 28 29 28 2 2 11 2 2 2 2 4 29 5 2 6 10 28 6 34 28 36 35 34 27 25 2 25 25 34 25 34 35 25 34 34 26 19 25 26 25 12 36 34 25 20 25 25 25 25 34 34 25 12 20 35 25 26 25 25 34 25 27 27 25 34 35 36 35 34 34 12 2 25 2 25 2 25 25 25 25 25 36 27 34 27 25 35 27 25 27 34 25 2 2 12 27 34 27 20 25 27 34 34 25 25 34 34 34 25 25 25 36 12 34 25 12 26 25 25 25 25 12 25 25 26 25 12 27 25 12 27 25 25 16 25 27 26 2 12 25 26 15 27 25 25 25 25 25 26 14 12 12 14 15 12 25 12 25 25 13 3 2 25 15 25 25 12 25 12 25 25 25 25 25 27 12 25 25 25 25 25 25 27 25 12 25 25 15 25 25 27 12 25 27 27 25 25 25 38 25 25 26 25 26 12 25 12 27 12 25 25 25 25 25 25 2 25 15 26 25 8 7 9 7 9 11 7 9 8 7 9 7 7 7 8 7 34 7 7 17 9 9 8 7 8 8 7 7 7 9 7 8 7 8 8 8 7 7 10 9 31 7 7 8 9 8 7 9 8 8 11 7 7 8 7 9 9 7 7 31 18 7 11 7 10 8 9 10 7 7 9 7 8 9 7 7 11 8 7 10 9 34 7 7 31 7 9 31 7 7 8 9 7 8 7 8 11 7 7 7"
5,3,-0.7897,1.0000,0.7010,-0.5463,-0.3273,"23 6 23 7 23 6 23 7 2 2 8 23 2 2 2 23 2 24 5 2 35 7 23 2 2 5 23 2 2 2 2 2 23 24 5 24 5 2 6 2 2 2 23 7 23 2 37 2 2 2 23 7 37 4 2 23 23 24 7 2 7 5 2 2 4 4 2 37 23 2 23 6 2 42 12 24 4 5 8 23 2 7 23 2 24 2 7 2 23 23 2 2 2 7 2 37 23 37 24 23 28 6 2 4 37 28 2 5 28 2 2 29 2 2 2 29 4 2 2 28 2 29 34 9 2 5 37 28 30 30 36 28 5 26 2 2 2 9 2 2 6 2 30 2 28 2 2 30 2 2 2 2 2 28 2 5 2 2 2 37 11 37 2 5 28 2 2 2 37 30 37 9 2 5 2 4 2 4 2 30 28 29 28 2 2 11 2 2 2 2 4 29 5 2 6 10 28 6 34 28 36 35 34 27 25 2 25 25 34 25 34 35 25 34 34 26 19 25 26 25 12 36 34 25 20 25 25 25 25 34 34 25 12 20 35 25 26 25 25 34 25 27 27 25 34 35 36 35 34 34 12 2 25 2 25 2 25 25 25 25 25 36 27 34 27 25 35 27 25 27 34 25 2 2 12 27 34 27 20 25 27 34 34 25 25 34 34 34 25 25 25 36 12 34 25 12 26 25 25 25 25 12 25 25 26 25 12 27 25 12 27 25 25 16 25 27 26 2 12 25 26 15 27 25 25 25 25 25 26 14 12 12 14 15 12 25 12 25 25 13 3 2 25 15 25 25 12 25 12 25 25 25 25 25 27 12 25 25 25 25 25 25 27 25 12 25 25 15 25 25 27 12 25 27 27 25 25 25 38 25 25 26 25 26 12 25 12 27 12 25 25 25 25 25 25 2 25 15 26 25 8 7 9 7 9 11 7 9 8 7 9 7 7 7 8 7 34 7 7 17 9 9 8 7 8 8 7 7 7 9 7 8 7 8 8 8 7 7 10 9 31 7 7 8 9 8 7 9 8 8 11 7 7 8 7 9 9 7 7 31 18 7 11 7 10 8 9 10 7 7 9 7 8 9 7 7 11 8 7 10 9 34 7 7 31 7 9 31 7 7 8 9 7 8 7 8 11 7 7 7"
6,3,-0.7961,1.0000,0.6797,-0.5271,-0.2860,"23 6 23 7 23 6 23 7 2 2 8 23 2 2 2 23 2 24 5 2 35 7 23 2 2 5 23 2 2 2 2 2 23 24 5 24 5 2 6 2 2 2 23 7 23 2 37 2 2 2 23 7 37 4 2 23 23 24 7 2 7 5 2 2 4 4 2 37 23 2 23 6 2 42 12 24 4 5 8 23 2 7 23 2 24 2 7 2 23 23 2 2 2 7 2 37 23 37 24 23 28 6 2 4 37 28 2 5 28 2 2 29 2 2 2 29 4 2 2 28 2 29 34 9 2 5 37 28 30 30 36 28 5 26 2 2 2 9 2 2 6 2 30 2 28 2 2 30 2 2 2 2 2 28 2 5 2 2 2 37 11 37 2 5 28 2 2 2 37 30 37 9 2 5 2 4 2 4 2 30 28 29 28 2 2 11 2 2 2 2 4 29 5 2 6 10 28 6 34 28 36 35 34 27 25 2 25 25 34 25 34 35 25 34 34 26 19 25 26 25 12 36 34 25 20 25 25 25 25 34 34 25 12 20 35 25 26 25 25 34 25 27 27 25 34 35 36 35 34 34 12 2 25 2 25 2 25 25 25 25 25 36 27 34 27 25 35 27 25 27 34 25 2 2 12 27 34 27 20 25 27 34 34 25 25 34 34 34 25 25 25 36 12 34 25 12 26 25 25 25 25 12 25 25 26 25 12 27 25 12 27 25 25 16 25 27 26 2 12 25 26 15 27 25 25 25 25 25 26 14 12 12 14 15 12 25 12 25 25 13 3 2 25 15 25 25 12 25 12 25 25 25 25 25 27 12 25 25 25 25 25 25 27 25 12 25 25 15 25 25 27 12 25 27 27 25 25 25 38 25 25 26 25 26 12 25 12 27 12 25 25 25 25 25 25 2 25 15 26 25 8 7 9 7 9 11 7 9 8 7 9 7 7 7 8 7 34 7 7 17 9 9 8 7 8 8 7 7 7 9 7 8 7 8 8 8 7 7 10 9 31 7 7 8 9 8 7 9 8 8 11 7 7 8 7 9 9 7 7 31 18 7 11 7 10 8 9 10 7 7 9 7 8 9 7 7 11 8 7 10 9 34 7 7 31 7 9 31 7 7 8 9 7 8 7 8 11 7 7 7"
7,3,-0.7877,1.0000,0.7077,-0.5331,-0.3454,"23 6 23 7 23 6 23 7 2 2 8 23 2 2 2 23 2 24 5 2 35 7 23 2 2 5 23 2 2 2 2 2 23 24 5 24 5 2 6 2 2 2 23 7 23 2 37 2 2 2 23 7 37 4 2 23 23 24 7 2 7 5 2 2 4 4 2 37 23 2 23 6 2 42 12 24 4 5 8 23 2 7 23 2 24 2 7 2 23 23 2 2 2 7 2 37 23 37 24 23 28 6 2 4 37 28 2 5 28 2 2 29 2 2 2 29 4 2 2 28 2 29 34 9 2 5 37 28 30 30 36 28 5 26 2 2 2 9 2 2 6 2 30 2 28 2 2 30 2 2 2 2 2 28 2 5 2 2 2 37 11 37 2 5 28 2 2 2 37 30 37 9 2 5 2 4 2 4 2 30 28 29 28 2 2 11 2 2 2 2 4 29 5 2 6 10 28 6 34 28 36 35 34 27 25 2 25 25 34 25 34 35 25 34 34 26 19 25 26 25 12 36 34 25 20 25 25 25 25 34 34 25 12 20 35 25 26 25 25 34 25 27 27 25 34 35 36 35 34 34 12 2 25 2 25 2 25 25 25 25 25 36 27 34 27 25 35 27 25 27 34 25 2 2 12 27 34 27 20 25 27 34 34 25 25 34 34 34 25 25 25 36 12 34 25 12 26 25 25 25 25 12 25 25 26 25 12 27 25 12 27 25 25 16 25 27 26 2 12 25 26 15 27 25 25 25 25 25 26 14 12 12 14 15 12 25 12 25 25 13 3 2 25 15 25 25 12 25 12 25 25 25 25 25 27 12 25 25 25 25 25 25 27 25 12 25 25 15 25 25 27 12 25 27 27 25 25 25 38 25 25 26 25 26 12 25 12 27 12 25 25 25 25 25 25 2 25 15 26 25 8 7 9 7 9 11 7 9 8 7 9 7 7 7 8 7 34 7 7 17 9 9 8 7 8 8 7 7 7 9 7 8 7 8 8 8 7 7 10 9 31 7 7 8 9 8 7 9 8 8 11 7 7 8 7 9 9 7 7 31 18 7 11 7 10 8 9 10 7 7 9 7 8 9 7 7 11 8 7 10 9 34 7 7 31 7 9 31 7 7 8 9 7 8 7 8 11 7 7 7"
8,3,-0.7995,1.0000,0.6683,-0.5326,-0.3075,"23 6 23 7 23 6 23 7 2 2 8 23 2 2 2 23 2 24 5 2 35 7 23 2 2 5 23 2 2 2 2 2 23 24 5 24 5 2 6 2 2 2 23 7 23 2 37 2 2 2 23 7 37 4 2 23 23 24 7 2 7 5 2 2 4 4 2 37 23 2 23 6 2 42 12 24 4 5 8 23 2 7 23 2 24 2 7 2 23 23 2 2 2 7 2 37 23 37 24 23 28 6 2 4 37 28 2 5 28 2 2 29 2 2 2 29 4 2 2 28 2 29 34 9 2 5 37 28 30 30 36 28 5 26 2 2 2 9 2 2 6 2 30 2 28 2 2 30 2 2 2 2 2 28 2 5 2 2 2 37 11 37 2 5 28 2 2 2 37 30 37 9 2 5 2 4 2 4 2 30 28 29 28 2 2 11 2 2 2 2 4 29 5 2 6 10 28 6 34 28 36 35 34 27 25 2 25 25 34 25 34 35 25 34 34 26 19 25 26 25 12 36 34 25 20 25 25 25 25 34 34 25 12 20 35 25 26 25 25 34 25 27 27 25 34 35 36 35 34 34 12 2 25 2 25 2 25 25 25 25 25 36 27 34 27 25 35 27 25 27 34 25 2 2 12 27 34 27 20 25 27 34 34 25 25 34 34 34 25 25 25 36 12 34 25 12 26 25 25 25 25 12 25 25 26 25 12 27 25 12 27 25 25 16 25 27 26 2 12 25 26 15 27 25 25 25 25 25 26 14 12 12 14 15 12 25 12 25 25 13 3 2 25 15 25 25 12 25 12 25 25 25 25 25 27 12 25 25 25 25 25 25 27 25 12 25 25 15 25 25 27 12 25 27 27 25 25 25 38 25 25 26 25 26 12 25 12 27 12 25 25 25 25 25 25 2 25 15 26 25 8 7 9 7 9 11 7 9 8 7 9 7 7 7 8 7 34 7 7 17 9 9 8 7 8 8 7 7 7 9 7 8 7 8 8 8 7 7 10 9 31 7 7 8 9 8 7 9 8 8 11 7 7 8 7 9 9 7 7 31 18 7 11 7 10 8 9 10 7 7 9 7 8 9 7 7 11 8 7 10 9 34 7 7 31 7 9 31 7 7 8 9 7 8 7 8 11 7 7 7"
9,3,-0.8147,1.0000,0.6176,-0.5571,-0.3374,"23 6 23 7 23 6 23 7 2 2 8 23 2 2 2 23 2 24 5 2 35 7 23 2 2 5 23 2 2 2 2 2 23 24 5 24 5 2 6 2 2 2 23 7 23 2 37 2 2 2 23 7 37 4 2 23 23 24 7 2 7 5 2 2 4 4 2 37 23 2 23 6 2 42 12 24 4 5 8 23 2 7 23 2 24 2 7 2 23 23 2 2 2 7 2 37 23 37 24 23 28 6 2 4 37 28 2 5 28 2 2 29 2 2 2 29 4 2 2 28 2 29 34 9 2 5 37 28 30 30 36 28 5 26 2 2 2 9 2 2 6 2 30 2 28 2 2 30 2 2 2 2 2 28 2 5 2 2 2 37 11 37 2 5 28 2 2 2 37 30 37 9 2 5 2 4 2 4 2 30 28 29 28 2 2 11 2 2 2 2 4 29 5 2 6 10 28 6 34 28 36 35 34 27 25 2 25 25 34 25 34 35 25 34 34 26 19 25 26 25 12 36 34 25 20 25 25 25 25 34 34 25 12 20 35 25 26 25 25 34 25 27 27 25 34 35 36 35 34 34 12 2 25 2 25 2 25 25 25 25 25 36 27 34 27 25 35 27 25 27 34 25 2 2 12 27 34 27 20 25 27 34 34 25 25 34 34 34 25 25 25 36 12 34 25 12 26 25 25 25 25 12 25 25 26 25 12 27 25 12 27 25 25 16 25 27 26 2 12 25 26 15 27 25 25 25 25 25 26 14 12 12 14 15 12 25 12 25 25 13 3 2 25 15 25 25 12 25 12 25 25 25 25 25 27 12 25 25 25 25 25 25 27 25 12 25 25 15 25 25 27 12 25 27 27 25 25 25 38 25 25 26 25 26 12 25 12 27 12 25 25 25 25 25 25 2 25 15 26 25 8 7 9 7 9 11 7 9 8 7 9 7 7 7 8 7 34 7 7 17 9 9 8 7 8 8 7 7 7 9 7 8 7 8 8 8 7 7 10 9 31 7 7 8 9 8 7 9 8 8 11 7 7 8 7 9 9 7 7 31 18 7 11 7 10 8 9 10 7 7 9 7 8 9 7 7 11 8 7 10 9 34 7 7 31 7 9 31 7 7 8 9 7 8 7 8 11 7 7 7"
