# seed=4
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5831,0.8636,0.9350,-0.1650,0.2784,"2 19 34 16 10 37 7 32 24 8 24 2 40 36 8 7 31 31 25 30 28 31 22 24 15 7 23 0 11 39 11 38 4 5 14 11 16 40 10 7 17 0 32 2 5 41 10 10 29 38 2 18 38 21 3 9 16 4 7 29 33 24 35 23 39 30 42 10 30 17 27 17 26 0 42 22 8 1 28 9 42 11 14 4 37 3 23 42 31 42 31 16 35 41 34 40 13 40 28 27 20 34 7 6 23 21 8 6 31 22 32 17 41 21 35 17 1 29 19 30 23 32 13 24 23 16 18 1 20 39 23 22 2 0 7 12 42 33 23 28 28 19 12 5 19 16 29 27 37 25 37 30 30 34 6 8 13 37 26 7 0 3 25 1 0 39 6 2 6 20 15 2 17 18 33 34 11 40 30 32 38 34 12 38 40 38 42 23 10 6 33 22 1 22 37 5 5 24 17 14 36 3 34 37 19 10 9 18 12 42 14 24 12 37 33 38 0 25 22 16 6 0 3 1 37 6 9 24 32 33 7 3 0 31 39 9 39 29 18 31 24 25 2 33 12 29 37 35 42 22 1 2 4 8 17 40 36 32 30 26 42 5 14 18 42 35 13 4 10 17 5 15 34 11 38 36 15 41 18 2 5 17 0 19 38 14 4 42 18 10 10 40 28 20 9 3 41 16 26 40 40 34 28 28 13 40 32 4 14 20 37 2 10 8 16 35 34 37 6 19 15 37 16 11 40 42 10 34 10 33 14 23 0 32 35 17 10 27 14 3 8 28 34 18 0 25 15 16 25 33 13 34 13 33 20 6 8 20 15 37 38 16 42 12 29 20 11 19 18 6 11 35 12 6 2 37 10 36 1 38 28 37 38 11 41 38 5 41 19 3 3 21 9 29 14 4 9 5 7 19 5 14 13 22 12 16 1 29 11 41 0 21 17 28 23 25 10 25 5 33 26 28 23 8 4 22 32 27 38 28 37 33 15 39 14 2 32 34 1 18 22 39 20 7 11 16 20 15 32 29 16 9 21 41 24 7 0 9 40 6 34 36 26 11 22 4 1 20 10 28 29 42 8 25 37 34 37 24 22 36 38 25 24 41 11 30 8 37 21 29 17 9 21 42 42 7 41 32 37 27"
1,2,-0.7267,0.8966,0.5663,-0.4371,-0.2158,"22 2 42 23 2 3 23 2 23 23 23 3 0 8 7 2 12 2 0 23 23 3 0 23 8 23 23 21 23 22 0 23 3 0 3 2 24 12 23 24 23 2 12 0 8 23 7 12 22 3 12 23 3 3 3 23 2 23 3 23 0 0 23 23 23 2 8 23 23 3 24 23 2 2 23 23 2 2 23 23 3 23 23 2 0 0 3 0 0 0 24 0 23 3 23 8 23 3 0 0 2 2 34 34 9 6 2 37 24 2 2 34 5 2 19 8 36 34 35 2 2 34 5 2 34 2 35 34 5 16 34 6 37 2 6 34 18 34 4 2 2 2 35 30 34 2 17 2 2 2 2 4 2 34 34 38 34 2 2 2 2 34 2 29 2 2 2 2 2 2 37 35 2 2 34 37 2 38 5 2 37 26 2 37 6 34 2 2 34 2 34 2 2 2 6 34 2 5 2 6 5 30 2 13 0 38 0 38 24 23 28 28 37 4 0 5 40 19 6 20 2 0 0 12 11 6 3 38 34 1 4 4 38 2 2 23 16 12 5 30 0 19 30 2 42 14 39 28 13 3 39 6 21 2 17 22 13 0 5 1 6 9 5 13 0 30 33 39 15 3 4 5 17 13 15 6 6 29 15 22 0 3 3 1 38 1 15 13 2 6 23 3 0 4 1 4 4 29 36 5 12 13 12 22 13 28 12 22 13 19 19 12 12 19 19 12 12 1 22 19 12 21 12 12 0 22 0 19 12 12 12 28 12 29 19 1 19 12 22 12 21 22 21 3 23 12 12 22 12 12 19 3 20 28 28 12 1 19 21 3 19 12 21 38 12 22 13 23 22 38 19 19 13 12 22 12 12 19 22 22 28 3 21 19 22 19 21 12 12 1 38 12 28 22 20 21 28 22 12 1 23 23 24 23 24 23 23 6 23 24 23 2 23 23 23 24 23 23 5 2 23 23 24 24 23 24 0 28 6 23 23 23 23 23 23 23 2 23 23 23 2 2 23 23 23 29 2 23 30 23 28 23 23 4 23 2 23 23 23 28 23 23 23 23 30 15 28 23 6 23 23 23 28 28 12 23 23 23 23 12 2 23 2 23 2 24 2 33 23 29 23 23 2 23 23 23 37 12 23 24"
2,3,-0.7663,0.9231,0.5227,-0.4982,-0.2848,"26 25 22 21 12 25 21 25 17 25 21 26 21 25 21 25 25 25 12 25 25 27 31 22 21 25 26 25 21 0 27 21 33 22 26 26 25 21 25 25 25 26 21 25 40 25 26 25 38 25 21 12 13 25 25 25 25 21 25 25 26 22 25 21 21 25 25 27 25 25 26 22 12 25 21 25 25 22 21 38 25 25 25 25 26 21 25 22 25 21 21 21 25 12 1 16 21 25 22 25 38 37 38 34 38 3 5 37 1 34 6 2 1 34 2 0 37 3 2 38 1 0 37 38 34 2 42 0 15 34 35 36 2 13 23 36 4 18 34 13 0 34 2 35 38 1 0 6 8 37 6 0 0 8 13 34 0 35 36 41 36 37 34 34 2 1 4 2 34 0 2 0 37 19 1 2 2 4 0 0 20 2 14 2 1 10 38 2 2 34 0 1 2 0 2 38 13 3 38 34 21 21 21 21 21 21 21 21 21 21 41 21 12 41 41 21 21 21 21 22 1 3 21 21 31 1 21 22 21 1 21 21 21 21 21 21 21 22 21 22 21 21 12 21 12 21 22 10 22 22 21 21 21 21 21 21 21 21 21 21 21 21 21 41 21 41 32 21 21 21 21 41 42 22 21 22 21 21 21 21 21 21 21 22 21 21 21 21 22 22 21 21 21 41 21 21 21 22 21 21 3 27 22 4 26 33 12 1 25 12 12 27 12 12 12 27 38 25 15 12 26 12 12 12 38 0 12 12 12 12 12 25 21 12 12 26 27 13 12 1 32 12 33 12 12 12 25 13 12 16 12 12 38 26 33 21 38 12 12 31 27 26 12 38 12 32 25 25 12 21 12 33 12 12 25 21 12 38 27 12 12 21 12 26 38 3 27 25 12 12 12 21 3 27 1 12 38 12 12 0 4 2 28 28 28 28 31 28 28 31 31 5 5 25 28 30 31 30 28 28 2 29 28 24 28 6 28 2 28 28 31 6 42 28 37 28 28 32 28 29 28 28 39 2 30 28 28 2 33 2 2 33 28 30 29 2 30 30 30 28 37 2 28 29 28 28 4 28 2 2 30 27 29 28 28 19 28 31 23 2 2 2 28 29 28 2 28 28 7 29 28 0 28 28 10 31 28 28 28 28"
3,3,-0.7369,0.8929,0.5199,-0.5020,-0.3123,"26 25 22 21 12 25 21 25 17 25 21 26 21 25 21 25 25 25 12 25 25 27 31 22 21 25 26 25 21 0 27 21 33 22 26 26 25 21 25 25 25 26 21 25 40 25 26 25 38 25 21 12 13 25 25 25 25 21 25 25 26 22 25 21 21 25 25 27 25 25 26 22 12 25 21 25 25 22 21 38 25 25 25 25 26 21 25 22 25 21 21 21 25 12 1 16 21 25 22 25 38 37 38 34 38 3 5 37 1 34 6 2 1 34 2 0 37 3 2 38 1 0 37 38 34 2 42 0 15 34 35 36 2 13 23 36 4 18 34 13 0 34 2 35 38 1 0 6 8 37 6 0 0 8 13 34 0 35 36 41 36 37 34 34 2 1 4 2 34 0 2 0 37 19 1 2 2 4 0 0 20 2 14 2 1 10 38 2 2 34 0 1 2 0 2 38 13 3 38 34 21 21 21 21 21 21 21 21 21 21 41 21 12 41 41 21 21 21 21 22 1 3 21 21 31 1 21 22 21 1 21 21 21 21 21 21 21 22 21 22 21 21 12 21 12 21 22 10 22 22 21 21 21 21 21 21 21 21 21 21 21 21 21 41 21 41 32 21 21 21 21 41 42 22 21 22 21 21 21 21 21 21 21 22 21 21 21 21 22 22 21 21 21 41 21 21 21 22 21 21 3 27 22 4 26 33 12 1 25 12 12 27 12 12 12 27 38 25 15 12 26 12 12 12 38 0 12 12 12 12 12 25 21 12 12 26 27 13 12 1 32 12 33 12 12 12 25 13 12 16 12 12 38 26 33 21 38 12 12 31 27 26 12 38 12 32 25 25 12 21 12 33 12 12 25 21 12 38 27 12 12 21 12 26 38 3 27 25 12 12 12 21 3 27 1 12 38 12 12 0 4 2 28 28 28 28 31 28 28 31 31 5 5 25 28 30 31 30 28 28 2 29 28 24 28 6 28 2 28 28 31 6 42 28 37 28 28 32 28 29 28 28 39 2 30 28 28 2 33 2 2 33 28 30 29 2 30 30 30 28 37 2 28 29 28 28 4 28 2 2 30 27 29 28 28 19 28 31 23 2 2 2 28 29 28 2 28 28 7 29 28 0 28 28 10 31 28 28 28 28"
4,3,-0.7264,0.9167,0.6342,-0.5018,-0.2945,"26 25 22 21 12 25 21 25 17 25 21 26 21 25 21 25 25 25 12 25 25 27 31 22 21 25 26 25 21 0 27 21 33 22 26 26 25 21 25 25 25 26 21 25 40 25 26 25 38 25 21 12 13 25 25 25 25 21 25 25 26 22 25 21 21 25 25 27 25 25 26 22 12 25 21 25 25 22 21 38 25 25 25 25 26 21 25 22 25 21 21 21 25 12 1 16 21 25 22 25 38 37 38 34 38 3 5 37 1 34 6 2 1 34 2 0 37 3 2 38 1 0 37 38 34 2 42 0 15 34 35 36 2 13 23 36 4 18 34 13 0 34 2 35 38 1 0 6 8 37 6 0 0 8 13 34 0 35 36 41 36 37 34 34 2 1 4 2 34 0 2 0 37 19 1 2 2 4 0 0 20 2 14 2 1 10 38 2 2 34 0 1 2 0 2 38 13 3 38 34 21 21 21 21 21 21 21 21 21 21 41 21 12 41 41 21 21 21 21 22 1 3 21 21 31 1 21 22 21 1 21 21 21 21 21 21 21 22 21 22 21 21 12 21 12 21 22 10 22 22 21 21 21 21 21 21 21 21 21 21 21 21 21 41 21 41 32 21 21 21 21 41 42 22 21 22 21 21 21 21 21 21 21 22 21 21 21 21 22 22 21 21 21 41 21 21 21 22 21 21 3 27 22 4 26 33 12 1 25 12 12 27 12 12 12 27 38 25 15 12 26 12 12 12 38 0 12 12 12 12 12 25 21 12 12 26 27 13 12 1 32 12 33 12 12 12 25 13 12 16 12 12 38 26 33 21 38 12 12 31 27 26 12 38 12 32 25 25 12 21 12 33 12 12 25 21 12 38 27 12 12 21 12 26 38 3 27 25 12 12 12 21 3 27 1 12 38 12 12 0 4 2 28 28 28 28 31 28 28 31 31 5 5 25 28 30 31 30 28 28 2 29 28 24 28 6 28 2 28 28 31 6 42 28 37 28 28 32 28 29 28 28 39 2 30 28 28 2 33 2 2 33 28 30 29 2 30 30 30 28 37 2 28 29 28 28 4 28 2 2 30 27 29 28 28 19 28 31 23 2 2 2 28 29 28 2 28 28 7 29 28 0 28 28 10 31 28 28 28 28"
5,4,-0.7801,0.9286,0.4948,-0.5088,-0.3049,"37 2 42 37 6 3 42 2 42 42 42 3 0 8 4 42 42 2 0 42 23 42 37 23 8 23 23 21 42 42 42 4 42 0 3 2 24 42 42 24 6 42 5 6 42 23 5 42 42 3 12 23 3 3 5 42 42 5 3 4 0 42 42 23 42 5 42 23 42 42 24 42 2 42 42 6 2 42 23 23 37 4 23 5 0 6 42 42 42 0 6 0 42 3 42 42 2 42 42 42 28 10 34 28 28 38 28 0 28 30 30 13 3 1 30 8 0 28 28 28 3 28 30 0 0 9 38 38 3 3 13 28 13 28 28 28 38 9 28 13 38 38 30 38 9 13 29 13 2 3 28 28 9 28 13 9 30 2 13 0 28 38 30 28 1 28 13 28 2 38 38 28 2 2 28 28 28 38 3 29 10 28 9 11 28 38 28 29 38 2 9 28 38 28 10 13 28 13 13 28 2 1 37 2 1 3 2 0 5 2 2 2 5 4 2 2 6 2 1 2 6 13 37 37 42 2 13 38 3 42 4 0 38 2 4 6 4 1 42 1 0 19 1 6 2 14 2 2 2 5 26 1 2 3 3 5 2 2 13 12 5 12 2 42 13 1 2 2 13 5 4 5 4 2 42 4 0 0 3 5 0 2 13 0 37 2 6 6 42 4 2 13 38 2 5 12 1 2 3 0 42 42 3 3 13 13 13 42 12 42 38 12 1 31 38 3 38 42 1 38 3 42 3 13 42 31 13 38 3 38 1 16 13 13 16 0 0 42 3 12 42 38 1 32 38 42 42 3 42 3 13 3 16 32 38 3 0 0 42 38 42 0 13 38 38 31 0 32 0 38 1 0 42 13 42 12 42 38 42 12 1 3 1 13 3 19 12 13 38 0 1 1 0 22 3 3 1 38 1 42 23 23 19 5 2 42 42 20 2 6 23 2 19 42 23 24 19 23 19 19 19 19 19 19 19 19 42 20 42 19 20 19 19 42 19 19 20 23 23 42 19 19 19 19 42 5 5 23 19 19 19 5 23 19 42 19 19 6 19 28 4 42 42 20 20 19 42 19 19 19 20 19 28 37 12 20 23 42 19 19 19 20 19 23 2 19 6 19 42 19 19 19 42 19 19 19 20 19 19 24"
6,4,-0.7088,0.8889,0.6001,-0.5144,-0.3031,"37 2 42 37 6 3 42 2 42 42 42 3 0 8 4 42 42 2 0 42 23 42 37 23 8 23 23 21 42 42 42 4 42 0 3 2 24 42 42 24 6 42 5 6 42 23 5 42 42 3 12 23 3 3 5 42 42 5 3 4 0 42 42 23 42 5 42 23 42 42 24 42 2 42 42 6 2 42 23 23 37 4 23 5 0 6 42 42 42 0 6 0 42 3 42 42 2 42 42 42 28 10 34 28 28 38 28 0 28 30 30 13 3 1 30 8 0 28 28 28 3 28 30 0 0 9 38 38 3 3 13 28 13 28 28 28 38 9 28 13 38 38 30 38 9 13 29 13 2 3 28 28 9 28 13 9 30 2 13 0 28 38 30 28 1 28 13 28 2 38 38 28 2 2 28 28 28 38 3 29 10 28 9 11 28 38 28 29 38 2 9 28 38 28 10 13 28 13 13 28 2 1 37 2 1 3 2 0 5 2 2 2 5 4 2 2 6 2 1 2 6 13 37 37 42 2 13 38 3 42 4 0 38 2 4 6 4 1 42 1 0 19 1 6 2 14 2 2 2 5 26 1 2 3 3 5 2 2 13 12 5 12 2 42 13 1 2 2 13 5 4 5 4 2 42 4 0 0 3 5 0 2 13 0 37 2 6 6 42 4 2 13 38 2 5 12 1 2 3 0 42 42 3 3 13 13 13 42 12 42 38 12 1 31 38 3 38 42 1 38 3 42 3 13 42 31 13 38 3 38 1 16 13 13 16 0 0 42 3 12 42 38 1 32 38 42 42 3 42 3 13 3 16 32 38 3 0 0 42 38 42 0 13 38 38 31 0 32 0 38 1 0 42 13 42 12 42 38 42 12 1 3 1 13 3 19 12 13 38 0 1 1 0 22 3 3 1 38 1 42 23 23 19 5 2 42 42 20 2 6 23 2 19 42 23 24 19 23 19 19 19 19 19 19 19 19 42 20 42 19 20 19 19 42 19 19 20 23 23 42 19 19 19 19 42 5 5 23 19 19 19 5 23 19 42 19 19 6 19 28 4 42 42 20 20 19 42 19 19 19 20 19 28 37 12 20 23 42 19 19 19 20 19 23 2 19 6 19 42 19 19 19 42 19 19 19 20 19 19 24"
7,5,-0.7813,0.9231,0.4727,-0.4975,-0.3173,"32 31 23 8 31 31 7 31 31 31 31 37 33 8 31 7 32 33 5 32 2 31 33 33 31 31 7 32 2 31 33 7 7 5 6 7 31 6 7 31 37 31 7 5 42 31 31 6 31 31 31 37 31 31 37 31 31 32 32 33 42 4 31 2 7 33 33 31 31 6 42 31 31 31 31 7 32 31 31 7 33 2 42 37 31 7 32 33 8 31 31 8 32 37 6 37 31 31 37 6 30 30 2 1 7 0 28 3 2 8 8 28 2 2 19 2 29 2 2 2 29 28 8 8 38 2 29 19 2 7 28 7 29 28 2 2 2 9 2 2 28 2 28 2 28 7 2 2 8 2 28 8 19 1 30 8 38 2 8 2 38 7 30 2 29 28 28 3 38 19 13 2 2 2 28 7 8 8 2 28 8 7 2 28 2 29 8 42 7 20 2 42 19 30 2 2 2 29 8 8 2 1 37 3 1 13 2 0 1 2 13 2 3 13 3 2 38 2 1 38 0 13 37 37 0 2 13 38 1 42 3 0 0 2 3 13 4 0 1 13 0 19 13 6 2 38 38 1 13 5 26 1 1 3 3 5 2 2 1 0 1 12 2 42 13 3 2 2 13 5 4 5 4 2 42 4 13 0 3 0 0 2 1 3 37 2 13 0 42 38 38 13 38 1 3 1 1 3 1 0 31 32 31 31 31 31 33 31 31 31 31 31 33 31 32 31 32 31 31 32 32 31 31 32 31 31 31 21 33 31 12 31 31 21 16 31 31 33 31 12 31 12 12 31 21 22 32 31 31 31 33 12 32 31 31 3 32 33 31 31 31 31 31 31 12 31 33 31 33 31 33 31 31 31 31 31 31 33 31 31 31 31 31 31 21 31 33 31 32 31 31 33 31 31 31 31 31 12 31 31 17 12 34 18 18 17 12 14 17 6 17 17 12 12 17 12 17 17 12 12 12 17 17 17 17 17 18 40 15 12 40 12 40 17 12 17 17 17 40 17 14 12 17 14 42 17 17 17 19 12 17 40 15 17 15 18 14 12 17 18 17 12 17 17 17 18 17 17 12 17 14 34 17 18 12 17 12 17 18 18 17 17 40 40 2 12 15 17 17 12 12 17 15 17 18 17 17 18 40 17"
8,5,-0.7593,0.9130,0.5126,-0.5213,-0.3453,"32 31 23 8 31 31 7 31 31 31 31 37 33 8 31 7 32 33 5 32 2 31 33 33 31 31 7 32 2 31 33 7 7 5 6 7 31 6 7 31 37 31 7 5 42 31 31 6 31 31 31 37 31 31 37 31 31 32 32 33 42 4 31 2 7 33 33 31 31 6 42 31 31 31 31 7 32 31 31 7 33 2 42 37 31 7 32 33 8 31 31 8 32 37 6 37 31 31 37 6 30 30 2 1 7 0 28 3 2 8 8 28 2 2 19 2 29 2 2 2 29 28 8 8 38 2 29 19 2 7 28 7 29 28 2 2 2 9 2 2 28 2 28 2 28 7 2 2 8 2 28 8 19 1 30 8 38 2 8 2 38 7 30 2 29 28 28 3 38 19 13 2 2 2 28 7 8 8 2 28 8 7 2 28 2 29 8 42 7 20 2 42 19 30 2 2 2 29 8 8 2 1 37 3 1 13 2 0 1 2 13 2 3 13 3 2 38 2 1 38 0 13 37 37 0 2 13 38 1 42 3 0 0 2 3 13 4 0 1 13 0 19 13 6 2 38 38 1 13 5 26 1 1 3 3 5 2 2 1 0 1 12 2 42 13 3 2 2 13 5 4 5 4 2 42 4 13 0 3 0 0 2 1 3 37 2 13 0 42 38 38 13 38 1 3 1 1 3 1 0 31 32 31 31 31 31 33 31 31 31 31 31 33 31 32 31 32 31 31 32 32 31 31 32 31 31 31 21 33 31 12 31 31 21 16 31 31 33 31 12 31 12 12 31 21 22 32 31 31 31 33 12 32 31 31 3 32 33 31 31 31 31 31 31 12 31 33 31 33 31 33 31 31 31 31 31 31 33 31 31 31 31 31 31 21 31 33 31 32 31 31 33 31 31 31 31 31 12 31 31 17 12 34 18 18 17 12 14 17 6 17 17 12 12 17 12 17 17 12 12 12 17 17 17 17 17 18 40 15 12 40 12 40 17 12 17 17 17 40 17 14 12 17 14 42 17 17 17 19 12 17 40 15 17 15 18 14 12 17 18 17 12 17 17 17 18 17 17 12 17 14 34 17 18 12 17 12 17 18 18 17 17 40 40 2 12 15 17 17 12 12 17 15 17 18 17 17 18 40 17"
9,5,-0.7406,0.9259,0.6178,-0.5056,-0.3407,"32 31 23 8 31 31 7 31 31 31 31 37 33 8 31 7 32 33 5 32 2 31 33 33 31 31 7 32 2 31 33 7 7 5 6 7 31 6 7 31 37 31 7 5 42 31 31 6 31 31 31 37 31 31 37 31 31 32 32 33 42 4 31 2 7 33 33 31 31 6 42 31 31 31 31 7 32 31 31 7 33 2 42 37 31 7 32 33 8 31 31 8 32 37 6 37 31 31 37 6 30 30 2 1 7 0 28 3 2 8 8 28 2 2 19 2 29 2 2 2 29 28 8 8 38 2 29 19 2 7 28 7 29 28 2 2 2 9 2 2 28 2 28 2 28 7 2 2 8 2 28 8 19 1 30 8 38 2 8 2 38 7 30 2 29 28 28 3 38 19 13 2 2 2 28 7 8 8 2 28 8 7 2 28 2 29 8 42 7 20 2 42 19 30 2 2 2 29 8 8 2 1 37 3 1 13 2 0 1 2 13 2 3 13 3 2 38 2 1 38 0 13 37 37 0 2 13 38 1 42 3 0 0 2 3 13 4 0 1 13 0 19 13 6 2 38 38 1 13 5 26 1 1 3 3 5 2 2 1 0 1 12 2 42 13 3 2 2 13 5 4 5 4 2 42 4 13 0 3 0 0 2 1 3 37 2 13 0 42 38 38 13 38 1 3 1 1 3 1 0 31 32 31 31 31 31 33 31 31 31 31 31 33 31 32 31 32 31 31 32 32 31 31 32 31 31 31 21 33 31 12 31 31 21 16 31 31 33 31 12 31 12 12 31 21 22 32 31 31 31 33 12 32 31 31 3 32 33 31 31 31 31 31 31 12 31 33 31 33 31 33 31 31 31 31 31 31 33 31 31 31 31 31 31 21 31 33 31 32 31 31 33 31 31 31 31 31 12 31 31 17 12 34 18 18 17 12 14 17 6 17 17 12 12 17 12 17 17 12 12 12 17 17 17 17 17 18 40 15 12 40 12 40 17 12 17 17 17 40 17 14 12 17 14 42 17 17 17 19 12 17 40 15 17 15 18 14 12 17 18 17 12 17 17 17 18 17 17 12 17 14 34 17 18 12 17 12 17 18 18 17 17 40 40 2 12 15 17 17 12 12 17 15 17 18 17 17 18 40 17"
